"","gfs_full","gfs_reduced"
"GC00000289",69,56
"GC00000015_p1",69,56
"GC00000290",69,56
"GC00000292",69,56
"GC00000018_p1",69,58
"GC00000164_r1_r1_1",69,56
"GC00000019_1",69,56
"GC00000270",69,56
"GC00000252",69,56
"GC00000254",69,57
"GC00000055_r1_r1_1",69,57
"GC00000066_r1_1",69,57
"GC00000053",69,57
"GC00000037",69,56
"GC00000035_2",69,56
"GC00000307",68,57
"GC00000305",68,57
"GC00000304",68,57
"GC00000303",68,57
"GC00000302",68,56
"GC00000300",68,55
"GC00000309",68,57
"GC00000032_p2",68,56
"GC00000288_r1_1",68,56
"GC00000294",68,55
"GC00000297",68,56
"GC00000296",68,56
"GC00000299",68,56
"GC00000298",68,56
"GC00000024_p2",68,55
"GC00000001_p1",68,56
"GC00000007_r1_2",68,56
"GC00000310",68,56
"GC00000021_p2",68,58
"GC00000291_r1_1",68,55
"GC00000278",68,57
"GC00000277",68,56
"GC00000283",68,55
"GC00000014_r1_1_p1",68,55
"GC00000240_r1_1",68,55
"GC00000203_r1_1",68,55
"GC00000241_r1_1",68,55
"GC00000255_r1_1",68,55
"GC00000057_r1_r1_1",68,57
"GC00000301_2",67,55
"GC00000239_r1_1",67,56
"GC00000312",67,55
"GC00000314",67,55
"GC00000315",67,56
"GC00000316",67,56
"GC00000317",67,58
"GC00000318",67,54
"GC00000308_r1_1",67,54
"GC00000021_p1",67,57
"GC00000306",67,56
"GC00000273",67,55
"GC00000027_r1_r1_1",67,55
"GC00000311_r1_1",66,54
"GC00000321",66,55
"GC00000322",66,54
"GC00000319",66,53
"GC00000276",66,54
"GC00000323_r1_1",65,52
"GC00000325",65,53
"GC00000326",65,56
"GC00000038_r1_1_p2",65,53
"GC00000293_r1_1",65,53
"GC00000020_p1",64,51
"GC00000010_r1_1_p2_p2",64,52
"GC00000334",63,50
"GC00000327",63,52
"GC00000320_r1_1",63,51
"GC00000295_r1_1",63,51
"GC00000335",62,50
"GC00000324_r1_1",62,50
"GC00000333_r1_1",61,49
"GC00000332_r1_1",61,49
"GC00000329",61,48
"GC00000328_5",60,49
"GC00000339",60,49
"GC00000336_r1_1",60,48
"GC00000313_r1_r1_1",60,48
"GC00000023_r1_1_p2",59,47
"GC00000343",59,48
"GC00000023_r1_1_p1",58,46
"GC00000345",58,46
"GC00000340",58,46
"GC00000338",58,45
"GC00000347_r1_1",57,46
"GC00000349",57,46
"GC00000346",57,45
"GC00000022_p1",57,46
"GC00000342_r1_r1_1",56,46
"GC00000344_r1_1",56,44
"GC00000355",56,44
"GC00000356",56,44
"GC00000357",56,44
"GC00000350",56,44
"GC00000351",56,44
"GC00000352",56,44
"GC00000353",56,44
"GC00000007_r1_1",56,44
"GC00000007_1",56,44
"GC00000348_r1_r1_1",55,43
"GC00000361",55,43
"GC00000363",55,44
"GC00000362",55,44
"GC00000365",55,44
"GC00000367",55,43
"GC00000366",55,43
"GC00000358",55,44
"GC00000354_r1_1",55,43
"GC00000331_2",55,43
"GC00000370",54,43
"GC00000371",54,44
"GC00000376",54,48
"GC00000377",54,48
"GC00000375",54,48
"GC00000011_p1",54,44
"GC00000024_p1",54,42
"GC00000360_r1_1",54,43
"GC00000369",54,42
"GC00000378",53,41
"GC00000359_r1_r1_1",53,41
"GC00000385",53,42
"GC00000384",53,41
"GC00000381",53,42
"GC00000391",52,41
"GC00000382_r1_1",52,43
"GC00000390",52,40
"GC00000392",52,41
"GC00000393",52,41
"GC00000395",52,46
"GC00000388",52,42
"GC00000036_p2",52,41
"GC00000389",52,40
"GC00000387",52,41
"GC00000386",52,41
"GC00000379",52,41
"GC00000380",52,41
"GC00000364",52,41
"GC00000398",51,46
"GC00000399",51,41
"GC00000397",51,41
"GC00000402",51,41
"GC00000394_2",51,40
"GC00000010_r1_1_p1",51,40
"GC00000373",51,40
"GC00000408",50,38
"GC00000401_r1_1",50,39
"GC00000011_p2_p2",50,38
"GC00000383",50,38
"GC00000421",49,38
"GC00000400_r1_1",49,38
"GC00000405",49,38
"GC00000067",49,38
"GC00000011_p2_p1",48,38
"GC00000025_p1",48,37
"GC00000424",48,37
"GC00000425",48,37
"GC00000428",48,37
"GC00000411_r1_1",48,39
"GC00000407_r1_1",48,37
"GC00000406_r1_1",48,37
"GC00000431",48,37
"GC00000430",48,36
"GC00000422_r1_1",48,37
"GC00000416",48,37
"GC00000412",48,37
"GC00000417",48,39
"GC00000415",48,37
"GC00000414",48,37
"GC00000039",48,37
"GC00000002_r1_r1_1",47,36
"GC00000409_r1_r1_1",47,36
"GC00000450",47,36
"GC00000435_r1_1",47,36
"GC00000432_2",47,36
"GC00000437",47,36
"GC00000439",47,36
"GC00000438",47,35
"GC00000396_r1_r1_1",47,36
"GC00000433_r1_1",47,36
"GC00000448",47,36
"GC00000449",47,36
"GC00000446",47,38
"GC00000447",47,36
"GC00000442",47,36
"GC00000443",47,36
