"","gfs_full","gfs_reduced"
"GC00000927",18,8
"GC00000136_1",18,8
"GC00000045_3",18,8
"GC00000924",18,8
"GC00000134_2",18,8
"GC00000134_1",18,8
"GC00000171_2",18,8
"GC00000171_1",18,8
"GC00000104_2",18,8
"GC00000138_2",18,8
"GC00000138_1",18,8
"GC00001733",18,8
"GC00001044",18,8
"GC00000130_2",18,8
"GC00000130_1",18,8
"GC00001043",18,8
"GC00001042",18,8
"GC00001041",18,8
"GC00001040",18,8
"GC00000102_1",18,8
"GC00000459",18,8
"GC00000216_1",18,8
"GC00000216_2",18,8
"GC00001685",18,8
"GC00001684",18,8
"GC00001687",18,8
"GC00001686",18,8
"GC00001681",18,8
"GC00001680",18,8
"GC00001683",18,8
"GC00001682",18,8
"GC00001689",18,8
"GC00001688",18,8
"GC00000316_2",18,8
"GC00000750",18,8
"GC00000752",18,8
"GC00001253",18,8
"GC00000753",18,8
"GC00000754",18,8
"GC00000756",18,8
"GC00000757",18,8
"GC00001259",18,8
"GC00000439",18,8
"GC00000930",18,8
"GC00000931",18,8
"GC00000932",18,8
"GC00000933",18,8
"GC00000934",18,8
"GC00000935",18,8
"GC00000936",18,8
"GC00000937",18,8
"GC00000938",18,8
"GC00000939",18,8
"GC00001359",18,8
"GC00001358",18,8
"GC00001353",18,8
"GC00001352",18,8
"GC00001351",18,8
"GC00001350",18,8
"GC00001357",18,8
"GC00001356",18,8
"GC00001355",18,8
"GC00001354",18,8
"GC00001223",18,8
"GC00001222",18,8
"GC00001221",18,8
"GC00001220",18,8
"GC00001227",18,8
"GC00001226",18,8
"GC00001225",18,8
"GC00001224",18,8
"GC00001229",18,8
"GC00001228",18,8
"GC00000075_3",18,8
"GC00000075_2",18,8
"GC00000075_1",18,8
"GC00000289_2",18,8
"GC00000073_1",18,8
"GC00000073_3",18,8
"GC00000073_2",18,8
"GC00000071_3",18,8
"GC00000071_2",18,8
"GC00000806",18,8
"GC00000807",18,8
"GC00000800",18,8
"GC00000801",18,8
"GC00000802",18,8
"GC00000803",18,8
"GC00001537",18,8
"GC00001536",18,8
"GC00001535",18,8
"GC00001534",18,8
"GC00000808",18,8
"GC00000809",18,8
"GC00001531",18,8
"GC00001530",18,8
"GC00000480",18,8
"GC00000481",18,8
"GC00000482",18,8
"GC00000483",18,8
"GC00000484",18,8
"GC00000485",18,8
"GC00000486",18,8
"GC00000487",18,8
"GC00000488",18,8
"GC00000489",18,8
"GC00000079_9",18,8
"GC00000001_64",18,8
"GC00000079_4",18,8
"GC00000077_1",18,8
"GC00000077_3",18,8
"GC00000077_2",18,8
"GC00000043_2",18,8
"GC00000267_1",18,8
"GC00000267_2",18,8
"GC00000282_2",18,8
"GC00000043_5",18,8
"GC00000794",18,8
"GC00000795",18,8
"GC00000796",18,8
"GC00000797",18,8
"GC00000265_2",18,8
"GC00000791",18,8
"GC00000792",18,8
"GC00000793",18,8
"GC00000798",18,8
"GC00000799",18,8
"GC00000263_1",18,8
"GC00000263_2",18,8
"GC00000223_1",18,8
"GC00000950",18,8
"GC00000951",18,8
"GC00000261_2",18,8
"GC00000261_1",18,8
"GC00000139_2",18,8
"GC00000668",18,8
"GC00000669",18,8
"GC00000660",18,8
"GC00000661",18,8
"GC00000662",18,8
"GC00000663",18,8
"GC00000664",18,8
"GC00000665",18,8
"GC00000666",18,8
"GC00000667",18,8
"GC00000468",18,8
"GC00000469",18,8
"GC00000462",18,8
"GC00000463",18,8
"GC00000460",18,8
"GC00000222_2",18,8
"GC00000466",18,8
"GC00000467",18,8
"GC00000464",18,8
"GC00000465",18,8
"GC00000269_2",18,8
"GC00000269_1",18,8
"GC00000220_2",18,8
"GC00000220_1",18,8
"GC00000427",18,8
"GC00000049_1",18,8
"GC00000556",18,8
"GC00000228_2",18,8
"GC00000228_1",18,8
"GC00000231_1",18,8
"GC00000003_9",18,8
"GC00000003_5",18,8
"GC00000003_6",18,8
"GC00000003_1",18,8
"GC00000003_2",18,8
"GC00000003_3",18,8
"GC00001344",18,8
"GC00001697",18,8
"GC00001347",18,8
"GC00001340",18,8
"GC00001341",18,8
"GC00001690",18,8
"GC00000007_8",18,8
"GC00000007_9",18,8
"GC00000007_4",18,8
"GC00000007_5",18,8
"GC00000007_6",18,8
"GC00000007_7",18,8
"GC00000309_2",18,8
"GC00000254_2",18,8
"GC00000186_1",18,8
"GC00000186_2",18,8
"GC00000184_2",18,8
"GC00000184_1",18,8
"GC00000008_3",18,8
"GC00000008_2",18,8
"GC00000008_6",18,8
"GC00000008_5",18,8
"GC00000008_4",18,8
"GC00000008_9",18,8
"GC00000008_8",18,8
"GC00000182_1",18,8
"GC00001032",18,8
"GC00001033",18,8
"GC00001030",18,8
"GC00001031",18,8
"GC00001036",18,8
"GC00001034",18,8
"GC00001035",18,8
"GC00001039",18,8
"GC00000047_1",18,8
"GC00000047_3",18,8
"GC00000104_1",18,8
"GC00000926",18,8
"GC00000925",18,8
"GC00000045_1",18,8
"GC00000923",18,8
"GC00000922",18,8
"GC00000921",18,8
"GC00000920",18,8
"GC00000929",18,8
"GC00000928",18,8
"GC00001328",18,8
"GC00001329",18,8
"GC00001326",18,8
"GC00001327",18,8
"GC00001324",18,8
"GC00001325",18,8
"GC00001322",18,8
"GC00001323",18,8
"GC00001320",18,8
"GC00001321",18,8
"GC00001256",18,8
"GC00001257",18,8
"GC00001254",18,8
"GC00001255",18,8
"GC00001252",18,8
"GC00001250",18,8
"GC00001251",18,8
"GC00001258",18,8
"GC00000168_1",18,8
"GC00000016_11",18,8
"GC00000016_12",18,8
"GC00000819",18,8
"GC00000818",18,8
"GC00000813",18,8
"GC00000812",18,8
"GC00000811",18,8
"GC00000810",18,8
"GC00000817",18,8
"GC00000816",18,8
"GC00000815",18,8
"GC00000814",18,8
"GC00000243_2",18,8
"GC00000041_4",18,8
"GC00000041_2",18,8
"GC00000041_3",18,8
"GC00000497",18,8
"GC00000496",18,8
"GC00000495",18,8
"GC00000494",18,8
"GC00000493",18,8
"GC00000492",18,8
"GC00000491",18,8
"GC00000490",18,8
"GC00000243_1",18,8
"GC00000499",18,8
"GC00000498",18,8
"GC00000340_2",18,8
"GC00000119_1",18,8
"GC00000168_2",18,8
"GC00000342_2",18,8
"GC00000789",18,8
"GC00000788",18,8
"GC00000221_2",18,8
"GC00000221_1",18,8
"GC00000783",18,8
"GC00000782",18,8
"GC00000781",18,8
"GC00000780",18,8
"GC00000787",18,8
"GC00000786",18,8
"GC00000785",18,8
"GC00000784",18,8
"GC00000227_1",18,8
"GC00000227_2",18,8
"GC00000165_1",18,8
"GC00000165_2",18,8
"GC00000225_1",18,8
"GC00000167_2",18,8
"GC00000167_1",18,8
"GC00001443",18,8
"GC00001110",18,8
"GC00001440",18,8
"GC00000679",18,8
"GC00000678",18,8
"GC00000677",18,8
"GC00000676",18,8
"GC00000675",18,8
"GC00000674",18,8
"GC00000673",18,8
"GC00000672",18,8
"GC00000671",18,8
"GC00000670",18,8
"GC00000479",18,8
"GC00000478",18,8
"GC00000122_1",18,8
"GC00001117",18,8
"GC00000471",18,8
"GC00000470",18,8
"GC00000473",18,8
"GC00000472",18,8
"GC00000475",18,8
"GC00000474",18,8
"GC00000477",18,8
"GC00000476",18,8
"GC00000161_1",18,8
"GC00000161_2",18,8
"GC00000004_12",18,8
"GC00000194_1",18,8
"GC00000124_1",18,8
"GC00000124_2",18,8
"GC00000225_2",18,8
"GC00001046",18,8
"GC00000126_2",18,8
"GC00000126_1",18,8
"GC00000083_1",18,8
"GC00000083_3",18,8
"GC00000081_3",18,8
"GC00000081_1",18,8
"GC00000306_2",18,8
"GC00000300_2",18,8
"GC00000196_2",18,8
"GC00000302_2",18,8
"GC00000202_2",18,8
"GC00000202_1",18,8
"GC00001021",18,8
"GC00001020",18,8
"GC00001023",18,8
"GC00001022",18,8
"GC00001025",18,8
"GC00001024",18,8
"GC00001027",18,8
"GC00001026",18,8
"GC00001029",18,8
"GC00001028",18,8
"GC00000120_1",18,8
"GC00000120_2",18,8
"GC00001339",18,8
"GC00001338",18,8
"GC00001335",18,8
"GC00001334",18,8
"GC00001337",18,8
"GC00001336",18,8
"GC00001331",18,8
"GC00001330",18,8
"GC00001333",18,8
"GC00001332",18,8
"GC00001245",18,8
"GC00001244",18,8
"GC00001247",18,8
"GC00001246",18,8
"GC00001241",18,8
"GC00001240",18,8
"GC00001243",18,8
"GC00001242",18,8
"GC00001249",18,8
"GC00001248",18,8
"GC00000088_3",18,8
"GC00000088_1",18,8
"GC00000458",18,8
"GC00000889",18,8
"GC00000868",18,8
"GC00000869",18,8
"GC00000086_1",18,8
"GC00000867",18,8
"GC00000864",18,8
"GC00000865",18,8
"GC00000862",18,8
"GC00000863",18,8
"GC00000860",18,8
"GC00000861",18,8
"GC00001235",18,8
"GC00000084_4",18,8
"GC00000084_3",18,8
"GC00000122_2",18,8
"GC00000777",18,8
"GC00001230",18,8
"GC00001231",18,8
"GC00000089_1",18,8
"GC00000345",18,8
"GC00001233",18,8
"GC00000197_2",18,8
"GC00000129_1",18,8
"GC00000238_1",18,8
"GC00000238_2",18,8
"GC00000129_2",18,8
"GC00000234_1",18,8
"GC00000234_2",18,8
"GC00000006_2",18,8
"GC00000682",18,8
"GC00000683",18,8
"GC00000680",18,8
"GC00000681",18,8
"GC00000686",18,8
"GC00000687",18,8
"GC00000684",18,8
"GC00000685",18,8
"GC00000688",18,8
"GC00000689",18,8
"GC00000448",18,8
"GC00000449",18,8
"GC00000444",18,8
"GC00000445",18,8
"GC00000446",18,8
"GC00000447",18,8
"GC00000440",18,8
"GC00000441",18,8
"GC00000442",18,8
"GC00000443",18,8
"GC00000275_2",18,8
"GC00000277_2",18,8
"GC00000831",18,8
"GC00000034_3",18,8
"GC00000279_2",18,8
"GC00000034_4",18,8
"GC00000839",18,8
"GC00000838",18,8
"GC00000239_2",18,8
"GC00000319_3",18,8
"GC00000019_1",18,8
"GC00000019_3",18,8
"GC00000019_2",18,8
"GC00000019_4",18,8
"GC00000019_6",18,8
"GC00000010_1",18,8
"GC00000010_2",18,8
"GC00000010_3",18,8
"GC00000010_4",18,8
"GC00000010_6",18,8
"GC00000010_7",18,8
"GC00000010_8",18,8
"GC00000010_9",18,8
"GC00000012_6",18,8
"GC00000012_7",18,8
"GC00000012_4",18,8
"GC00000012_5",18,8
"GC00000012_2",18,8
"GC00000012_3",18,8
"GC00000012_1",18,8
"GC00000383",18,8
"GC00000014_4",18,8
"GC00000014_6",18,8
"GC00000014_7",18,8
"GC00000014_1",18,8
"GC00000014_2",18,8
"GC00000014_3",18,8
"GC00000213_2",18,8
"GC00000016_8",18,8
"GC00000001_53",18,8
"GC00000016_3",18,8
"GC00000016_5",18,8
"GC00000051_1",18,8
"GC00000051_3",18,8
"GC00000051_2",18,8
"GC00000318_p2",18,8
"GC00000053_3",18,8
"GC00000053_2",18,8
"GC00000053_1",18,8
"GC00000603",18,8
"GC00000531",18,8
"GC00001014",18,8
"GC00001015",18,8
"GC00001016",18,8
"GC00001017",18,8
"GC00001010",18,8
"GC00001011",18,8
"GC00001012",18,8
"GC00001013",18,8
"GC00001018",18,8
"GC00001019",18,8
"GC00000118_1",18,8
"GC00000118_2",18,8
"GC00000332_2",18,8
"GC00000605",18,8
"GC00001490",18,8
"GC00001491",18,8
"GC00001492",18,8
"GC00001493",18,8
"GC00001494",18,8
"GC00001495",18,8
"GC00001496",18,8
"GC00001497",18,8
"GC00001498",18,8
"GC00001499",18,8
"GC00000539",18,8
"GC00001652",18,8
"GC00001301",18,8
"GC00001650",18,8
"GC00001651",18,8
"GC00001304",18,8
"GC00001657",18,8
"GC00001306",18,8
"GC00001655",18,8
"GC00001308",18,8
"GC00001309",18,8
"GC00001658",18,8
"GC00001659",18,8
"GC00000023_4",18,8
"GC00001478",18,8
"GC00001479",18,8
"GC00001472",18,8
"GC00001473",18,8
"GC00001470",18,8
"GC00001471",18,8
"GC00001476",18,8
"GC00001477",18,8
"GC00001474",18,8
"GC00001475",18,8
"GC00000334_2",18,8
"GC00000879",18,8
"GC00000878",18,8
"GC00000875",18,8
"GC00000874",18,8
"GC00000877",18,8
"GC00000876",18,8
"GC00000871",18,8
"GC00000870",18,8
"GC00000873",18,8
"GC00000872",18,8
"GC00000115_1",18,8
"GC00000115_2",18,8
"GC00000153_2",18,8
"GC00000153_1",18,8
"GC00000117_2",18,8
"GC00000117_1",18,8
"GC00000155_1",18,8
"GC00000155_2",18,8
"GC00000233_2",18,8
"GC00000233_1",18,8
"GC00000111_1",18,8
"GC00000111_2",18,8
"GC00001278",18,8
"GC00001279",18,8
"GC00001270",18,8
"GC00001271",18,8
"GC00001272",18,8
"GC00000113_1",18,8
"GC00001274",18,8
"GC00001275",18,8
"GC00001276",18,8
"GC00001277",18,8
"GC00001300",18,8
"GC00000151_1",18,8
"GC00000151_2",18,8
"GC00000691",18,8
"GC00000690",18,8
"GC00000693",18,8
"GC00000692",18,8
"GC00000695",18,8
"GC00000694",18,8
"GC00000697",18,8
"GC00000696",18,8
"GC00000699",18,8
"GC00000698",18,8
"GC00000453",18,8
"GC00000452",18,8
"GC00000451",18,8
"GC00000457",18,8
"GC00000456",18,8
"GC00000455",18,8
"GC00000454",18,8
"GC00001314",18,8
"GC00001313",18,8
"GC00001312",18,8
"GC00001311",18,8
"GC00000156_2",18,8
"GC00000156_1",18,8
"GC00000158_1",18,8
"GC00000158_2",18,8
