"","gfs_full","gfs_reduced"
"GC00000001_29",18,8
"GC00000159_1",18,8
"GC00000159_2",18,8
"GC00000001_28",18,8
"GC00000001_21",18,8
"GC00000001_20",18,8
"GC00000001_22",18,8
"GC00000001_25",18,8
"GC00000001_24",18,8
"GC00000001_27",18,8
"GC00000001_26",18,8
"GC00000103_1",18,8
"GC00000103_2",18,8
"GC00001627",18,8
"GC00001626",18,8
"GC00001625",18,8
"GC00001624",18,8
"GC00001623",18,8
"GC00001622",18,8
"GC00001621",18,8
"GC00001620",18,8
"GC00001589",18,8
"GC00001629",18,8
"GC00001628",18,8
"GC00000157_2",18,8
"GC00000157_1",18,8
"GC00000131_1",18,8
"GC00000239_1",18,8
"GC00001399",18,8
"GC00001398",18,8
"GC00001397",18,8
"GC00001396",18,8
"GC00001395",18,8
"GC00001394",18,8
"GC00001393",18,8
"GC00001392",18,8
"GC00001391",18,8
"GC00001390",18,8
"GC00000859",18,8
"GC00000858",18,8
"GC00001719",18,8
"GC00001718",18,8
"GC00001713",18,8
"GC00001712",18,8
"GC00001711",18,8
"GC00001710",18,8
"GC00001717",18,8
"GC00001716",18,8
"GC00001715",18,8
"GC00001714",18,8
"GC00000181_2",18,8
"GC00000237_2",18,8
"GC00000237_1",18,8
"GC00001573",18,8
"GC00001572",18,8
"GC00001571",18,8
"GC00001570",18,8
"GC00001577",18,8
"GC00001576",18,8
"GC00001575",18,8
"GC00001574",18,8
"GC00001579",18,8
"GC00001578",18,8
"GC00000059_1",18,8
"GC00000059_3",18,8
"GC00000059_2",18,8
"GC00001083",18,8
"GC00001082",18,8
"GC00001081",18,8
"GC00001080",18,8
"GC00001087",18,8
"GC00001086",18,8
"GC00001085",18,8
"GC00001084",18,8
"GC00001089",18,8
"GC00001088",18,8
"GC00000974",18,8
"GC00000975",18,8
"GC00000976",18,8
"GC00000977",18,8
"GC00000970",18,8
"GC00000971",18,8
"GC00000972",18,8
"GC00000973",18,8
"GC00001155",18,8
"GC00001154",18,8
"GC00001157",18,8
"GC00001156",18,8
"GC00000978",18,8
"GC00001150",18,8
"GC00001153",18,8
"GC00001152",18,8
"GC00000570",18,8
"GC00000571",18,8
"GC00000572",18,8
"GC00000573",18,8
"GC00000574",18,8
"GC00000575",18,8
"GC00000576",18,8
"GC00000577",18,8
"GC00000578",18,8
"GC00000579",18,8
"GC00000372",18,8
"GC00000373",18,8
"GC00000370",18,8
"GC00000371",18,8
"GC00000376",18,8
"GC00000377",18,8
"GC00000374",18,8
"GC00000375",18,8
"GC00000378",18,8
"GC00000379",18,8
"GC00000297_2",18,8
"GC00000285_2",18,8
"GC00000096_2",18,8
"GC00000355",18,8
"GC00000222_1",18,8
"GC00000121_1",18,8
"GC00000096_1",18,8
"GC00000018_1",18,8
"GC00000018_2",18,8
"GC00000018_3",18,8
"GC00000018_4",18,8
"GC00000018_5",18,8
"GC00000018_6",18,8
"GC00000461",18,8
"GC00000013_7",18,8
"GC00000013_6",18,8
"GC00000013_5",18,8
"GC00000013_4",18,8
"GC00000013_3",18,8
"GC00000013_2",18,8
"GC00000013_1",18,8
"GC00000758",18,8
"GC00000759",18,8
"GC00000015_8",18,8
"GC00000015_5",18,8
"GC00000751",18,8
"GC00000015_6",18,8
"GC00000015_1",18,8
"GC00000755",18,8
"GC00000015_2",18,8
"GC00000598",18,8
"GC00000599",18,8
"GC00000592",18,8
"GC00000593",18,8
"GC00000590",18,8
"GC00000591",18,8
"GC00000596",18,8
"GC00000597",18,8
"GC00000594",18,8
"GC00000595",18,8
"GC00000017_3",18,8
"GC00000017_2",18,8
"GC00000017_1",18,8
"GC00000017_5",18,8
"GC00000017_4",18,8
"GC00000050_1",18,8
"GC00000050_2",18,8
"GC00000050_3",18,8
"GC00000052_2",18,8
"GC00000052_3",18,8
"GC00000052_1",18,8
"GC00000628",18,8
"GC00000629",18,8
"GC00000624",18,8
"GC00000625",18,8
"GC00000626",18,8
"GC00000627",18,8
"GC00000620",18,8
"GC00000621",18,8
"GC00000622",18,8
"GC00000623",18,8
"GC00000248_1",18,8
"GC00000248_2",18,8
"GC00000241_1",18,8
"GC00000241_2",18,8
"GC00000119_2",18,8
"GC00000143_1",18,8
"GC00000245_1",18,8
"GC00000245_2",18,8
"GC00000054_1",18,8
"GC00000054_2",18,8
"GC00000054_3",18,8
"GC00000280_2",18,8
"GC00000143_2",18,8
"GC00000247_2",18,8
"GC00000247_1",18,8
"GC00000056_2",18,8
"GC00000056_3",18,8
"GC00000056_1",18,8
"GC00000001_39",18,8
"GC00000200_1",18,8
"GC00000200_2",18,8
"GC00000001_32",18,8
"GC00000001_33",18,8
"GC00000001_30",18,8
"GC00000001_31",18,8
"GC00000001_36",18,8
"GC00000001_37",18,8
"GC00000001_35",18,8
"GC00000418",18,8
"GC00000116_2",18,8
"GC00000116_1",18,8
"GC00000110_1",18,8
"GC00000110_2",18,8
"GC00000204_1",18,8
"GC00000204_2",18,8
"GC00000112_2",18,8
"GC00000112_1",18,8
"GC00000206_1",18,8
"GC00001403",18,8
"GC00000333_2",18,8
"GC00001362",18,8
"GC00001363",18,8
"GC00001360",18,8
"GC00001361",18,8
"GC00001366",18,8
"GC00001367",18,8
"GC00001364",18,8
"GC00001365",18,8
"GC00001368",18,8
"GC00001369",18,8
"GC00000023_2",18,8
"GC00000023_3",18,8
"GC00000023_1",18,8
"GC00000025_4",18,8
"GC00000025_5",18,8
"GC00000025_1",18,8
"GC00000025_2",18,8
"GC00000025_3",18,8
"GC00000501",18,8
"GC00000114_1",18,8
"GC00000067_2",18,8
"GC00000114_2",18,8
"GC00001506",18,8
"GC00001507",18,8
"GC00001504",18,8
"GC00001505",18,8
"GC00001502",18,8
"GC00001503",18,8
"GC00001500",18,8
"GC00001501",18,8
"GC00000067_1",18,8
"GC00001508",18,8
"GC00001509",18,8
"GC00000508",18,8
"GC00000969",18,8
"GC00000968",18,8
"GC00000963",18,8
"GC00000962",18,8
"GC00000961",18,8
"GC00000960",18,8
"GC00000967",18,8
"GC00000966",18,8
"GC00000965",18,8
"GC00001160",18,8
"GC00001161",18,8
"GC00001162",18,8
"GC00001163",18,8
"GC00001164",18,8
"GC00001165",18,8
"GC00001166",18,8
"GC00001167",18,8
"GC00001168",18,8
"GC00001169",18,8
"GC00000021_2",18,8
"GC00000021_3",18,8
"GC00000021_4",18,8
"GC00000021_5",18,8
"GC00000567",18,8
"GC00000566",18,8
"GC00000565",18,8
"GC00000564",18,8
"GC00000563",18,8
"GC00000562",18,8
"GC00000561",18,8
"GC00000560",18,8
"GC00001212",18,8
"GC00001213",18,8
"GC00001210",18,8
"GC00001211",18,8
"GC00001216",18,8
"GC00001217",18,8
"GC00001214",18,8
"GC00001215",18,8
"GC00000361",18,8
"GC00000360",18,8
"GC00001188",18,8
"GC00000362",18,8
"GC00000365",18,8
"GC00000364",18,8
"GC00000367",18,8
"GC00000366",18,8
"GC00000369",18,8
"GC00000368",18,8
"GC00001180",18,8
"GC00001181",18,8
"GC00001186",18,8
"GC00001187",18,8
"GC00001184",18,8
"GC00001185",18,8
"GC00000223_2",18,8
"GC00000026_3",18,8
"GC00000026_2",18,8
"GC00000026_1",18,8
"GC00000026_6",18,8
"GC00000028_2",18,8
"GC00000028_4",18,8
"GC00000028_6",18,8
"GC00000055_1",18,8
"GC00000140_2",18,8
"GC00000055_3",18,8
"GC00000140_1",18,8
"GC00000063_2",18,8
"GC00000055_2",18,8
"GC00000749",18,8
"GC00000748",18,8
"GC00000747",18,8
"GC00000746",18,8
"GC00000745",18,8
"GC00000744",18,8
"GC00000743",18,8
"GC00000742",18,8
"GC00000146_2",18,8
"GC00000740",18,8
"GC00000589",18,8
"GC00000588",18,8
"GC00000581",18,8
"GC00000580",18,8
"GC00000583",18,8
"GC00000582",18,8
"GC00000585",18,8
"GC00000584",18,8
"GC00000587",18,8
"GC00000586",18,8
"GC00000235_1",18,8
"GC00000003_4",18,8
"GC00000633",18,8
"GC00000632",18,8
"GC00000631",18,8
"GC00000630",18,8
"GC00000637",18,8
"GC00000636",18,8
"GC00000635",18,8
"GC00000634",18,8
"GC00000639",18,8
"GC00000638",18,8
"GC00001302",18,8
"GC00001303",18,8
"GC00000057_3",18,8
"GC00000142_2",18,8
"GC00000057_2",18,8
"GC00000057_1",18,8
"GC00000224_2",18,8
"GC00001307",18,8
"GC00000209_1",18,8
"GC00000209_2",18,8
"GC00001400",18,8
"GC00000431",18,8
"GC00000430",18,8
"GC00001371",18,8
"GC00001370",18,8
"GC00001373",18,8
"GC00001372",18,8
"GC00001375",18,8
"GC00001374",18,8
"GC00001377",18,8
"GC00001376",18,8
"GC00001379",18,8
"GC00001378",18,8
"GC00000438",18,8
"GC00000197_1",18,8
"GC00000072_1",18,8
"GC00000505",18,8
"GC00001515",18,8
"GC00001514",18,8
"GC00001517",18,8
"GC00001516",18,8
"GC00001511",18,8
"GC00001510",18,8
"GC00001513",18,8
"GC00001519",18,8
"GC00001518",18,8
"GC00000068_1",18,8
"GC00000068_3",18,8
"GC00000068_2",18,8
"GC00000918",18,8
"GC00000919",18,8
"GC00000916",18,8
"GC00000917",18,8
"GC00000914",18,8
"GC00000915",18,8
"GC00000912",18,8
"GC00000913",18,8
"GC00000910",18,8
"GC00000911",18,8
"GC00001177",18,8
"GC00001176",18,8
"GC00001175",18,8
"GC00001174",18,8
"GC00001173",18,8
"GC00001172",18,8
"GC00001171",18,8
"GC00001170",18,8
"GC00001179",18,8
"GC00001178",18,8
"GC00001209",18,8
"GC00001208",18,8
"GC00001201",18,8
"GC00001200",18,8
"GC00001203",18,8
"GC00001202",18,8
"GC00001205",18,8
"GC00001204",18,8
"GC00001207",18,8
"GC00001206",18,8
"GC00001199",18,8
"GC00001198",18,8
"GC00000356",18,8
"GC00000357",18,8
"GC00000350",18,8
"GC00000351",18,8
"GC00000352",18,8
"GC00000353",18,8
"GC00001191",18,8
"GC00001190",18,8
"GC00001193",18,8
"GC00001192",18,8
"GC00001195",18,8
"GC00001194",18,8
"GC00001197",18,8
"GC00001196",18,8
"GC00000098_3",18,8
"GC00000851",18,8
"GC00001147",18,8
"GC00000822",18,8
"GC00000823",18,8
"GC00000820",18,8
"GC00000821",18,8
"GC00000826",18,8
"GC00000827",18,8
"GC00000824",18,8
"GC00000825",18,8
"GC00001159",18,8
"GC00000828",18,8
"GC00000829",18,8
"GC00001158",18,8
"GC00000065_1",18,8
"GC00000065_2",18,8
"GC00000065_3",18,8
"GC00001409",18,8
"GC00001144",18,8
"GC00001408",18,8
"GC00000258_2",18,8
"GC00000258_1",18,8
"GC00001407",18,8
"GC00000067_3",18,8
"GC00001405",18,8
"GC00001404",18,8
"GC00000061_1",18,8
"GC00000061_2",18,8
"GC00000061_3",18,8
"GC00001151",18,8
"GC00000979",18,8
"GC00001401",18,8
"GC00000063_3",18,8
"GC00000063_1",18,8
"GC00000290_2",18,8
"GC00000101_1",18,8
"GC00001140",18,8
"GC00000199_1",18,8
"GC00000199_2",18,8
"GC00000251_2",18,8
"GC00000251_1",18,8
"GC00000294_2",18,8
"GC00000257_1",18,8
"GC00000257_2",18,8
"GC00000646",18,8
"GC00000647",18,8
"GC00000644",18,8
"GC00000645",18,8
"GC00000642",18,8
"GC00000643",18,8
"GC00000640",18,8
"GC00000641",18,8
"GC00000648",18,8
"GC00000649",18,8
"GC00000255_2",18,8
"GC00000255_1",18,8
"GC00000292_2",18,8
"GC00000720",18,8
"GC00000212_1",18,8
"GC00000212_2",18,8
"GC00000091_3",18,8
"GC00000193_1",18,8
"GC00000210_2",18,8
"GC00000210_1",18,8
"GC00000093_2",18,8
"GC00000093_1",18,8
"GC00000095_1",18,8
"GC00000095_2",18,8
"GC00000253_1",18,8
"GC00000253_2",18,8
"GC00000001_10",18,8
"GC00000106_1",18,8
"GC00000106_2",18,8
"GC00000001_14",18,8
"GC00000001_15",18,8
"GC00000001_17",18,8
"GC00000001_18",18,8
"GC00000382",18,8
"GC00000102_2",18,8
"GC00000100_2",18,8
"GC00000301_2",18,8
"GC00000100_1",18,8
"GC00000214_2",18,8
"GC00000214_1",18,8
"GC00000031_4",18,8
"GC00000031_3",18,8
"GC00000031_2",18,8
"GC00000031_1",18,8
"GC00000007_12",18,8
"GC00001447",18,8
"GC00000045_2",18,8
"GC00001696",18,8
"GC00001345",18,8
"GC00001346",18,8
"GC00001695",18,8
"GC00001692",18,8
"GC00001693",18,8
"GC00001342",18,8
"GC00001691",18,8
"GC00001348",18,8
"GC00001349",18,8
"GC00001698",18,8
"GC00001699",18,8
"GC00000113_2",18,8
"GC00001740",18,8
"GC00000193_2",18,8
"GC00000033_3",18,8
"GC00000033_2",18,8
"GC00000091_2",18,8
"GC00000033_4",18,8
"GC00000038_4",18,8
"GC00000194_2",18,8
"GC00000295_2",18,8
"GC00000909",18,8
"GC00000908",18,8
"GC00000196_1",18,8
"GC00000905",18,8
"GC00000904",18,8
"GC00000907",18,8
"GC00000906",18,8
"GC00000901",18,8
"GC00000900",18,8
"GC00000903",18,8
"GC00000902",18,8
"GC00000313_2",18,8
"GC00000190_1",18,8
"GC00000190_2",18,8
"GC00000349",18,8
"GC00000348",18,8
"GC00001238",18,8
"GC00001239",18,8
"GC00001234",18,8
"GC00001237",18,8
"GC00000347",18,8
"GC00000346",18,8
"GC00001232",18,8
"GC00000344",18,8
"GC00000023_5",18,8
"GC00000307_2",18,8
"GC00001528",18,8
"GC00001529",18,8
"GC00000833",18,8
"GC00000832",18,8
"GC00000835",18,8
"GC00000834",18,8
"GC00000837",18,8
"GC00000836",18,8
"GC00001520",18,8
"GC00001521",18,8
"GC00001522",18,8
"GC00001523",18,8
"GC00001524",18,8
"GC00001525",18,8
"GC00001526",18,8
"GC00001527",18,8
"GC00000174_2",18,8
"GC00000174_1",18,8
"GC00000172_1",18,8
"GC00000172_2",18,8
"GC00001037",18,8
"GC00001038",18,8
"GC00000231_2",18,8
"GC00001130",18,8
"GC00000047_2",18,8
"GC00000176_1",18,8
"GC00000176_2",18,8
"GC00000001_11",18,8
"GC00000001_12",18,8
"GC00000107_2",18,8
"GC00000655",18,8
"GC00000654",18,8
"GC00000219_1",18,8
"GC00000656",18,8
"GC00000651",18,8
"GC00000650",18,8
"GC00000653",18,8
"GC00000652",18,8
"GC00000659",18,8
"GC00000001_19",18,8
"GC00000179_2",18,8
"GC00000179_1",18,8
