"","gfs_full","gfs_reduced"
"GC00000001_29",18,13
"GC00000001_28",18,13
"GC00000001_22",18,13
"GC00000001_25",18,13
"GC00000001_26",18,13
"GC00001627",18,13
"GC00001626",18,13
"GC00001625",18,13
"GC00001624",18,13
"GC00001623",18,13
"GC00001622",18,13
"GC00001621",18,13
"GC00001620",18,13
"GC00001629",18,13
"GC00001628",18,13
"GC00000157_3",18,13
"GC00000157_4",18,13
"GC00000239_1",18,13
"GC00000181_1",18,13
"GC00000059_9",18,13
"GC00000059_8",18,13
"GC00000059_6",18,13
"GC00001083",18,13
"GC00001082",18,13
"GC00001081",18,13
"GC00001080",18,13
"GC00001087",18,13
"GC00001086",18,13
"GC00001085",18,13
"GC00001084",18,13
"GC00001089",18,13
"GC00001088",18,13
"GC00000974",18,13
"GC00000975",18,13
"GC00000976",18,13
"GC00000970",18,13
"GC00000971",18,13
"GC00000972",18,13
"GC00000973",18,13
"GC00000978",18,13
"GC00000979",18,13
"GC00001889",18,13
"GC00001888",18,13
"GC00001883",18,13
"GC00001882",18,13
"GC00001881",18,13
"GC00001880",18,13
"GC00001887",18,13
"GC00001886",18,13
"GC00001885",18,13
"GC00001884",18,13
"GC00000446_p2",18,13
"GC00000758",18,13
"GC00000759",18,13
"GC00000750",18,13
"GC00000751",18,13
"GC00000752",18,13
"GC00000753",18,13
"GC00000754",18,13
"GC00000755",18,13
"GC00000757",18,13
"GC00000017_3",18,13
"GC00000017_2",18,13
"GC00000017_1",18,13
"GC00000017_6",18,13
"GC00000282_1",18,13
"GC00000417_2",18,13
"GC00000617_2",18,13
"GC00000243_2",18,13
"GC00000056_6",18,13
"GC00000056_7",18,13
"GC00000056_4",18,13
"GC00000056_3",18,13
"GC00001295",18,13
"GC00000405_2",18,13
"GC00000204_4",18,13
"GC00000023_8",18,13
"GC00000023_9",18,13
"GC00000023_4",18,13
"GC00000114_3",18,13
"GC00000114_2",18,13
"GC00000114_4",18,13
"GC00000025_36",18,13
"GC00000025_37",18,13
"GC00000366_1",18,13
"GC00000366_2",18,13
"GC00001160",18,13
"GC00001161",18,13
"GC00001162",18,13
"GC00001163",18,13
"GC00001164",18,13
"GC00001165",18,13
"GC00001166",18,13
"GC00001167",18,13
"GC00001168",18,13
"GC00001169",18,13
"GC00000002_28",18,13
"GC00000002_25",18,13
"GC00000002_26",18,13
"GC00000002_20",18,13
"GC00000002_22",18,13
"GC00000002_23",18,13
"GC00000451_2",18,13
