"","gfs_full","gfs_reduced"
"GC00000010_3",11,6
"GC00000129",11,6
"GC00000010_1",11,6
"GC00000127",11,6
"GC00000126",11,6
"GC00000125",11,6
"GC00000124",11,6
"GC00000001_25",11,6
"GC00000121",11,6
"GC00000120",11,6
"GC00000534",11,6
"GC00000535",11,6
"GC00000536",11,6
"GC00000537",11,6
"GC00000530",11,6
"GC00000531",11,6
"GC00000532",11,6
"GC00000533",11,6
"GC00000538",11,6
"GC00000348",11,6
"GC00000014_1",11,6
"GC00000014_2",11,6
"GC00000014_3",11,6
"GC00000779",11,6
"GC00000128",11,6
"GC00000001_20",11,6
"GC00000016_2",11,6
"GC00000016_3",11,6
"GC00000016_1",11,6
"GC00000001_23",11,6
"GC00000001_22",11,6
"GC00000051_1",11,6
"GC00000051_2",11,6
"GC00000123",11,6
"GC00000946",11,6
"GC00000855",11,6
"GC00000122",11,6
"GC00000408",11,6
"GC00000409",11,6
"GC00000158",11,6
"GC00000159",11,6
"GC00000449",11,6
"GC00000152",11,6
"GC00000153",11,6
"GC00000150",11,6
"GC00000151",11,6
"GC00000404",11,6
"GC00000405",11,6
"GC00000406",11,6
"GC00000155",11,6
"GC00000918",11,6
"GC00000762",11,6
"GC00000850",11,6
"GC00000916",11,6
"GC00000012_2",11,6
"GC00000675",11,6
"GC00000012_3",11,6
"GC00000912",11,6
"GC00000012_1",11,6
"GC00000030_1",11,6
"GC00000074_2",11,6
"GC00000859",11,6
"GC00000074_1",11,6
"GC00000549",11,6
"GC00000605",11,6
"GC00000036_1",11,6
"GC00000036_2",11,6
"GC00000548",11,6
"GC00000655",11,6
"GC00000654",11,6
"GC00000657",11,6
"GC00000656",11,6
"GC00000651",11,6
"GC00000719",11,6
"GC00000072_2",11,6
"GC00000652",11,6
"GC00000714",11,6
"GC00000715",11,6
"GC00000716",11,6
"GC00000717",11,6
"GC00000659",11,6
"GC00000658",11,6
"GC00000712",11,6
"GC00000713",11,6
"GC00000545",11,6
"GC00000057_2",11,6
"GC00000057_1",11,6
"GC00000544",11,6
"GC00000070_2",11,6
"GC00000390",11,6
"GC00000070_1",11,6
"GC00000307",11,6
"GC00000306",11,6
"GC00000305",11,6
"GC00000304",11,6
"GC00000303",11,6
"GC00000302",11,6
"GC00000301",11,6
"GC00000300",11,6
"GC00000541",11,6
"GC00000059_1",11,6
"GC00000738",11,6
"GC00000309",11,6
"GC00000059_2",11,6
"GC00000045_1",11,6
"GC00000391",11,6
"GC00000923",11,6
"GC00000636",11,6
"GC00000879",11,6
"GC00000878",11,6
"GC00000875",11,6
"GC00000874",11,6
"GC00000877",11,6
"GC00000876",11,6
"GC00000871",11,6
"GC00000870",11,6
"GC00000873",11,6
"GC00000872",11,6
"GC00000882",11,6
"GC00000032_1",11,6
