num_samples,gene_count,theta,rho,gene_conversion_rate,m0,m1,m2,m3,m4
2,1000,10,0.01,0,0.006303310394287109,0.004069805145263672,0.0038208961486816406,0.0036287307739257812,0.0036504268646240234
2,1000,10,0.01,0.025,0.0046885013580322266,0.0044100284576416016,0.004193544387817383,0.004219770431518555,0.005190372467041016
2,1000,10,0.01,0.05,0.006269931793212891,0.004822254180908203,0.005590677261352539,0.004850149154663086,0.005413532257080078
2,1000,10,0.01,0.075,0.0056645870208740234,0.005009651184082031,0.0049822330474853516,0.005177736282348633,0.004561185836791992
2,1000,10,0.01,0.1,0.005202531814575195,0.004869937896728516,0.004536867141723633,0.005007743835449219,0.004169940948486328
2,1000,10,0.05,0,0.0030357837677001953,0.0031261444091796875,0.0026679039001464844,0.002424001693725586,0.0023670196533203125
2,1000,10,0.05,0.025,0.003450632095336914,0.003217458724975586,0.003892660140991211,0.003885984420776367,0.0037894248962402344
2,1000,10,0.05,0.05,0.004820585250854492,0.0036830902099609375,0.00295257568359375,0.003490447998046875,0.003184080123901367
2,1000,10,0.05,0.075,0.0036687850952148438,0.003282785415649414,0.0036268234252929688,0.003968000411987305,0.0031762123107910156
2,1000,10,0.05,0.1,0.004386425018310547,0.0037517547607421875,0.0035309791564941406,0.0039136409759521484,0.0031909942626953125
2,1000,10,0.1,0,0.003247976303100586,0.0031325817108154297,0.0024814605712890625,0.002204418182373047,0.002241849899291992
2,1000,10,0.1,0.025,0.0044596195220947266,0.0035181045532226562,0.003028392791748047,0.0031778812408447266,0.0028541088104248047
2,1000,10,0.1,0.05,0.003356456756591797,0.0047109127044677734,0.0035276412963867188,0.0032286643981933594,0.002820730209350586
2,1000,10,0.1,0.075,0.003957271575927734,0.0032737255096435547,0.004028797149658203,0.003840208053588867,0.003941774368286133
2,1000,10,0.1,0.1,0.0045850276947021484,0.00448155403137207,0.003359556198120117,0.0033636093139648438,0.0036725997924804688
2,1000,10,0.15,0,0.003292560577392578,0.003044605255126953,0.002494335174560547,0.002337217330932617,0.0025954246520996094
2,1000,10,0.15,0.025,0.003936767578125,0.002743244171142578,0.002760648727416992,0.0026094913482666016,0.002855062484741211
2,1000,10,0.15,0.05,0.0038301944732666016,0.00442957878112793,0.0036232471466064453,0.00341033935546875,0.003608226776123047
2,1000,10,0.15,0.075,0.004346132278442383,0.00395655632019043,0.0033240318298339844,0.0036118030548095703,0.003836393356323242
2,1000,10,0.15,0.1,0.0049593448638916016,0.0036153793334960938,0.0030770301818847656,0.00396418571472168,0.0038242340087890625
2,1000,10,0.2,0,0.0028018951416015625,0.002307891845703125,0.002234935760498047,0.0025081634521484375,0.002720355987548828
2,1000,10,0.2,0.025,0.003438711166381836,0.002960205078125,0.0032367706298828125,0.0026564598083496094,0.0031936168670654297
2,1000,10,0.2,0.05,0.0033223628997802734,0.002911090850830078,0.0026764869689941406,0.0034215450286865234,0.003912687301635742
2,1000,10,0.2,0.075,0.004420042037963867,0.0029973983764648438,0.00365447998046875,0.0033528804779052734,0.0031304359436035156
2,1000,10,0.2,0.1,0.00605010986328125,0.00418853759765625,0.003567218780517578,0.004300832748413086,0.0029850006103515625
2,1000,50,0.05,0,0.004609584808349609,0.004107475280761719,0.004118442535400391,0.003855466842651367,0.004209995269775391
2,1000,50,0.05,0.025,0.005026102066040039,0.0047760009765625,0.0042912960052490234,0.003958940505981445,0.005335569381713867
2,1000,50,0.05,0.05,0.004734039306640625,0.004937410354614258,0.004795074462890625,0.004544734954833984,0.004748106002807617
2,1000,50,0.05,0.075,0.004717826843261719,0.004210472106933594,0.0057370662689208984,0.00571751594543457,0.0048143863677978516
2,1000,50,0.05,0.1,0.006545066833496094,0.00513005256652832,0.004689216613769531,0.005388021469116211,0.00570988655090332
2,1000,50,0.1,0,0.0035343170166015625,0.003397703170776367,0.0031614303588867188,0.0028536319732666016,0.002966165542602539
