gene_conversion_rate,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99
0.0,0.018349885940551758,0.018078327178955078,0.01990675926208496,0.020285844802856445,0.028967618942260742,0.030469655990600586,0.031490325927734375,0.01323699951171875,0.013042688369750977,0.03330206871032715,0.034760475158691406,0.03691458702087402,0.01857614517211914,0.024372100830078125,0.012576818466186523,0.019121646881103516,0.009789705276489258,0.018013715744018555,0.020249366760253906,0.010917425155639648,0.02237677574157715,0.015267610549926758,0.024145841598510742,0.022803544998168945,0.01704549789428711,0.01561284065246582,0.021816253662109375,0.015628814697265625,0.021951913833618164,0.04202461242675781,0.01612544059753418,0.01893019676208496,0.018637657165527344,0.011539220809936523,0.017850875854492188,0.013105154037475586,0.01996016502380371,0.016013383865356445,0.0160369873046875,0.016461849212646484,0.011580467224121094,0.019094228744506836,0.013286590576171875,0.036763906478881836,0.014190435409545898,0.02063727378845215,0.0175323486328125,0.013833761215209961,0.016891956329345703,0.012315034866333008,0.017706871032714844,0.013257026672363281,0.013967752456665039,0.017801523208618164,0.010943412780761719,0.020957469940185547,0.018825531005859375,0.012877225875854492,0.016901254653930664,0.011914730072021484,0.015746116638183594,0.011774301528930664,0.020079851150512695,0.011144161224365234,0.011779546737670898,0.016412734985351562,0.012741327285766602,0.020499229431152344,0.012223958969116211,0.020048856735229492,0.012827157974243164,0.02161407470703125,0.01861858367919922,0.011876344680786133,0.020053386688232422,0.013206958770751953,0.011681318283081055,0.01528620719909668,0.019916296005249023,0.014244794845581055,0.024863243103027344,0.016651391983032227,0.021802425384521484,0.01907658576965332,0.016153335571289062,0.018457412719726562,0.014654874801635742,0.013654708862304688,0.015978097915649414,0.019152402877807617,0.017818450927734375,0.012696266174316406,0.020000696182250977,0.018152236938476562,0.01272892951965332,0.019726037979125977,0.014930009841918945,0.011339664459228516,0.022185802459716797,0.013196945190429688
0.01,0.021069765090942383,0.023191213607788086,0.024416685104370117,0.02608942985534668,0.02644634246826172,0.029398202896118164,0.030405521392822266,0.03119635581970215,0.03412985801696777,0.04098010063171387,0.023015260696411133,0.020376205444335938,0.01600933074951172,0.02118372917175293,0.026295900344848633,0.026293516159057617,0.02651500701904297,0.014032363891601562,0.028501033782958984,0.02826070785522461,0.022089242935180664,0.025220870971679688,0.019526004791259766,0.020725011825561523,0.01798105239868164,0.013833999633789062,0.01829814910888672,0.029633760452270508,0.01733541488647461,0.028281688690185547,0.019556760787963867,0.016949176788330078,0.026664257049560547,0.023643016815185547,0.014114856719970703,0.022466659545898438,0.026389122009277344,0.012886524200439453,0.0184175968170166,0.01754474639892578,0.016766786575317383,0.017562389373779297,0.026765823364257812,0.023355722427368164,0.021367788314819336,0.011977434158325195,0.016843080520629883,0.017652273178100586,0.029653072357177734,0.03600144386291504,0.01845693588256836,0.013096809387207031,0.021537065505981445,0.016991138458251953,0.02597332000732422,0.02693772315979004,0.01607823371887207,0.013999462127685547,0.029993772506713867,0.01917719841003418,0.025664091110229492,0.017877578735351562,0.012399435043334961,0.034462928771972656,0.027581214904785156,0.023676395416259766,0.019666433334350586,0.02303934097290039,0.030223369598388672,0.014627456665039062,0.02907252311706543,0.01505899429321289,0.020597219467163086,0.01793074607849121,0.028339385986328125,0.0138092041015625,0.02338576316833496,0.023409128189086914,0.0239107608795166,0.01875138282775879,0.012480020523071289,0.018723726272583008,0.01966071128845215,0.019767045974731445,0.021541833877563477,0.036487579345703125,0.020306110382080078,0.024962902069091797,0.016368865966796875,0.01579570770263672,0.03482866287231445,0.0237581729888916,0.032846927642822266,0.028914451599121094,0.022536516189575195,0.022234201431274414,0.016034364700317383,0.028397083282470703,0.0288693904876709,0.02120518684387207
0.02,0.029146909713745117,0.029407262802124023,0.02937006950378418,0.03525042533874512,0.039726972579956055,0.041028738021850586,0.015284538269042969,0.04494476318359375,0.04588770866394043,0.04675412178039551,0.01836681365966797,0.050939083099365234,0.02171945571899414,0.024989843368530273,0.016095638275146484,0.02956247329711914,0.027668476104736328,0.0274655818939209,0.032327890396118164,0.03980851173400879,0.03530740737915039,0.03679347038269043,0.043435096740722656,0.030573129653930664,0.0333256721496582,0.019997119903564453,0.025414466857910156,0.017734050750732422,0.020550966262817383,0.02840900421142578,0.017673969268798828,0.03209352493286133,0.018871307373046875,0.03641510009765625,0.04063558578491211,0.020812511444091797,0.018706798553466797,0.025973081588745117,0.019848346710205078,0.014831304550170898,0.0415034294128418,0.028133392333984375,0.0303497314453125,0.020979881286621094,0.05122065544128418,0.04759788513183594,0.01566481590270996,0.016872167587280273,0.02361917495727539,0.03919363021850586,0.03190112113952637,0.01864480972290039,0.014755487442016602,0.019548416137695312,0.02187490463256836,0.035350799560546875,0.022391557693481445,0.0340573787689209,0.01626276969909668,0.03275132179260254,0.028552532196044922,0.033684492111206055,0.013981819152832031,0.022232770919799805,0.030358076095581055,0.034332275390625,0.03249526023864746,0.029521703720092773,0.03795337677001953,0.034783363342285156,0.029327392578125,0.026421785354614258,0.032524824142456055,0.02140069007873535,0.022660017013549805,0.029321908950805664,0.02353644371032715,0.014140129089355469,0.03582954406738281,0.024624347686767578,0.02045440673828125,0.022701263427734375,0.03693509101867676,0.031824350357055664,0.029849767684936523,0.040613651275634766,0.018973112106323242,0.028408050537109375,0.03157520294189453,0.025896310806274414,0.033339500427246094,0.027436494827270508,0.03150010108947754,0.029227018356323242,0.018048763275146484,0.033879995346069336,0.035665035247802734,0.0208587646484375,0.024797916412353516,0.026287317276000977
0.03,0.031212568283081055,0.03634285926818848,0.03893327713012695,0.04002833366394043,0.0417172908782959,0.04872941970825195,0.04979372024536133,0.05228829383850098,0.05681037902832031,0.057213544845581055,0.02590203285217285,0.035959720611572266,0.03140091896057129,0.029670238494873047,0.015212774276733398,0.032942771911621094,0.01873040199279785,0.03764629364013672,0.025448083877563477,0.05211901664733887,0.05832648277282715,0.04609251022338867,0.04622292518615723,0.0228879451751709,0.0332791805267334,0.02677774429321289,0.031400203704833984,0.03356623649597168,0.03891777992248535,0.035614967346191406,0.02803969383239746,0.0325009822845459,0.034264326095581055,0.037444353103637695,0.0364840030670166,0.022929668426513672,0.03769040107727051,0.03094935417175293,0.02993917465209961,0.03427481651306152,0.033583641052246094,0.04728078842163086,0.057289838790893555,0.03214597702026367,0.02398085594177246,0.0330355167388916,0.04570364952087402,0.03439927101135254,0.01644587516784668,0.028630733489990234,0.018729448318481445,0.02169656753540039,0.029559850692749023,0.03664994239807129,0.047559261322021484,0.038358449935913086,0.0327916145324707,0.021729707717895508,0.04138994216918945,0.028043746948242188,0.03160715103149414,0.027353763580322266,0.04222464561462402,0.03832697868347168,0.027962684631347656,0.0336613655090332,0.0318903923034668,0.04392695426940918,0.030574560165405273,0.03080296516418457,0.03825640678405762,0.027297258377075195,0.04728841781616211,0.037444353103637695,0.03442096710205078,0.02467489242553711,0.0389094352722168,0.04227447509765625,0.02528214454650879,0.03322911262512207,0.0253756046295166,0.02733588218688965,0.04708600044250488,0.036936044692993164,0.023812055587768555,0.03783774375915527,0.053652048110961914,0.03118753433227539,0.03590726852416992,0.04193902015686035,0.028751611709594727,0.02892017364501953,0.02810978889465332,0.04128623008728027,0.04323530197143555,0.02478766441345215,0.0394289493560791,0.034992218017578125,0.04713582992553711,0.035486698150634766
0.04,0.02944779396057129,0.03820157051086426,0.03995680809020996,0.04470014572143555,0.04734158515930176,0.05403637886047363,0.05631279945373535,0.05921196937561035,0.06221628189086914,0.06455063819885254,0.03809094429016113,0.050119638442993164,0.05136871337890625,0.0467529296875,0.035515785217285156,0.050974369049072266,0.0536036491394043,0.0504002571105957,0.07072806358337402,0.0524601936340332,0.059186697006225586,0.031549930572509766,0.031133174896240234,0.03684878349304199,0.026415586471557617,0.02270650863647461,0.04241180419921875,0.032053470611572266,0.02704596519470215,0.05341935157775879,0.05154919624328613,0.055954933166503906,0.04737520217895508,0.02829122543334961,0.05128145217895508,0.03016829490661621,0.05397629737854004,0.0914618968963623,0.03667855262756348,0.06440544128417969,0.04219961166381836,0.06428194046020508,0.04676556587219238,0.05305600166320801,0.030805110931396484,0.04309511184692383,0.023338794708251953,0.05422806739807129,0.03998589515686035,0.04330110549926758,0.04263043403625488,0.040899038314819336,0.055448293685913086,0.07840108871459961,0.049722909927368164,0.028747081756591797,0.03345775604248047,0.03331589698791504,0.04269099235534668,0.03278326988220215,0.024389982223510742,0.060827016830444336,0.055707693099975586,0.032671213150024414,0.04017186164855957,0.030432939529418945,0.05918073654174805,0.03567242622375488,0.06659197807312012,0.04622793197631836,0.023250341415405273,0.05210757255554199,0.028676271438598633,0.044048309326171875,0.04125523567199707,0.03549766540527344,0.024138212203979492,0.023198366165161133,0.05594134330749512,0.06789517402648926,0.07041549682617188,0.03406262397766113,0.03997445106506348,0.032407283782958984,0.036170005798339844,0.08109164237976074,0.04725146293640137,0.04533553123474121,0.03635835647583008,0.023117780685424805,0.02487325668334961,0.030086517333984375,0.05079245567321777,0.036649465560913086,0.04097938537597656,0.04924154281616211,0.030856609344482422,0.04611968994140625,0.03219795227050781,0.07631802558898926
0.05,0.03556680679321289,0.046916961669921875,0.04794430732727051,0.04907536506652832,0.058908939361572266,0.06305670738220215,0.06749606132507324,0.06918501853942871,0.03441500663757324,0.0697469711303711,0.07573819160461426,0.04939699172973633,0.05422568321228027,0.03803849220275879,0.055975914001464844,0.03716087341308594,0.04069685935974121,0.058861494064331055,0.020920515060424805,0.05878615379333496,0.03183579444885254,0.0370793342590332,0.03515982627868652,0.08027148246765137,0.03267550468444824,0.08504199981689453,0.06248617172241211,0.0283815860748291,0.07411503791809082,0.04724717140197754,0.060273170471191406,0.059540748596191406,0.07506895065307617,0.056314945220947266,0.04388928413391113,0.0368189811706543,0.05162692070007324,0.02727198600769043,0.07480907440185547,0.05735325813293457,0.037873029708862305,0.06825637817382812,0.03479766845703125,0.04953598976135254,0.07962322235107422,0.047815799713134766,0.023522138595581055,0.038683176040649414,0.02666473388671875,0.06757688522338867,0.03406023979187012,0.051383018493652344,0.03583884239196777,0.03239321708679199,0.0426020622253418,0.03368234634399414,0.0360567569732666,0.07277226448059082,0.04590559005737305,0.04736948013305664,0.047029972076416016,0.026350736618041992,0.09125351905822754,0.05967974662780762,0.05566096305847168,0.01929450035095215,0.04356813430786133,0.042997121810913086,0.06932735443115234,0.0441739559173584,0.04086041450500488,0.033438682556152344,0.03490853309631348,0.04489898681640625,0.036826372146606445,0.0471949577331543,0.04900217056274414,0.041655540466308594,0.06763362884521484,0.09704947471618652,0.06604743003845215,0.02272319793701172,0.03370499610900879,0.06025838851928711,0.050530433654785156,0.031374454498291016,0.04333615303039551,0.03374814987182617,0.058209896087646484,0.02182793617248535,0.0356748104095459,0.06679344177246094,0.06316924095153809,0.02268838882446289,0.04318642616271973,0.03918623924255371,0.039414405822753906,0.04891252517700195,0.061669349670410156,0.07606005668640137
0.06,0.04584217071533203,0.050676584243774414,0.06554555892944336,0.06916260719299316,0.07036685943603516,0.0716853141784668,0.07238984107971191,0.08083939552307129,0.035704851150512695,0.09052515029907227,0.055960893630981445,0.10368680953979492,0.04268598556518555,0.04076838493347168,0.03334665298461914,0.04264116287231445,0.055928707122802734,0.06961727142333984,0.0356135368347168,0.05168867111206055,0.06364893913269043,0.07225346565246582,0.055982351303100586,0.054857492446899414,0.07571220397949219,0.03718686103820801,0.13762140274047852,0.12747526168823242,0.04422283172607422,0.06775474548339844,0.0945577621459961,0.0657496452331543,0.046407461166381836,0.04190564155578613,0.030401229858398438,0.07626152038574219,0.028099536895751953,0.0538792610168457,0.05693411827087402,0.10320448875427246,0.04475593566894531,0.06343507766723633,0.0764920711517334,0.05964207649230957,0.08972978591918945,0.05432748794555664,0.0602419376373291,0.05134248733520508,0.040606021881103516,0.05097651481628418,0.059430837631225586,0.08722996711730957,0.04476332664489746,0.0491328239440918,0.03054022789001465,0.052390336990356445,0.03997683525085449,0.0669088363647461,0.07787728309631348,0.03726506233215332,0.05380868911743164,0.0945272445678711,0.043569326400756836,0.05518364906311035,0.0411224365234375,0.08613181114196777,0.050688982009887695,0.09311103820800781,0.054546356201171875,0.029766082763671875,0.03395533561706543,0.03157758712768555,0.09091567993164062,0.0439600944519043,0.05194091796875,0.06963801383972168,0.05461764335632324,0.04385972023010254,0.07852005958557129,0.06073737144470215,0.06692647933959961,0.08080697059631348,0.08769822120666504,0.07019209861755371,0.054290056228637695,0.0381927490234375,0.03364729881286621,0.07881522178649902,0.06189250946044922,0.04180908203125,0.05256938934326172,0.0367276668548584,0.05293774604797363,0.06960082054138184,0.0393519401550293,0.046652793884277344,0.09960412979125977,0.05846714973449707,0.061715126037597656,0.055442094802856445
0.07,0.05019879341125488,0.05273556709289551,0.06267738342285156,0.0708158016204834,0.07616233825683594,0.0791940689086914,0.08410525321960449,0.09122967720031738,0.09132266044616699,0.04453444480895996,0.04976511001586914,0.06376409530639648,0.05690312385559082,0.07521772384643555,0.054679155349731445,0.14752483367919922,0.06296396255493164,0.06267142295837402,0.08266162872314453,0.06913185119628906,0.03240823745727539,0.05988025665283203,0.033403635025024414,0.0631556510925293,0.07328343391418457,0.06049060821533203,0.06758499145507812,0.05473685264587402,0.09813952445983887,0.11812210083007812,0.09110689163208008,0.08977293968200684,0.07168054580688477,0.08667325973510742,0.08877778053283691,0.041675567626953125,0.05398893356323242,0.03760647773742676,0.034820556640625,0.056000471115112305,0.09077191352844238,0.06636977195739746,0.03945016860961914,0.04772353172302246,0.04608035087585449,0.022279977798461914,0.0451810359954834,0.036640167236328125,0.07594060897827148,0.0919642448425293,0.06768274307250977,0.04950428009033203,0.05779075622558594,0.09392070770263672,0.09018754959106445,0.13031435012817383,0.1209101676940918,0.04569363594055176,0.03962516784667969,0.05168271064758301,0.06248331069946289,0.03870820999145508,0.06842541694641113,0.07155203819274902,0.0744333267211914,0.09247994422912598,0.0953989028930664,0.0712127685546875,0.1065516471862793,0.03773021697998047,0.03520083427429199,0.03527331352233887,0.06499886512756348,0.046215057373046875,0.10770964622497559,0.0802299976348877,0.07482028007507324,0.10367131233215332,0.055048227310180664,0.10825204849243164,0.03879356384277344,0.05608773231506348,0.04815983772277832,0.037709951400756836,0.06700539588928223,0.1838817596435547,0.05963706970214844,0.04557013511657715,0.05542302131652832,0.044359683990478516,0.1047811508178711,0.06587767601013184,0.10192656517028809,0.09082269668579102,0.06357073783874512,0.05853986740112305,0.05947089195251465,0.11044526100158691,0.07227396965026855,0.14325976371765137
0.08,0.05505967140197754,0.056952714920043945,0.06236863136291504,0.06224799156188965,0.0706632137298584,0.08589792251586914,0.043956756591796875,0.035527944564819336,0.13525676727294922,0.07988977432250977,0.14323997497558594,0.047298431396484375,0.06248974800109863,0.04907059669494629,0.10932493209838867,0.17397308349609375,0.17493963241577148,0.04300427436828613,0.04558062553405762,0.14451837539672852,0.05801510810852051,0.07422471046447754,0.03613018989562988,0.0890047550201416,0.0629887580871582,0.09537196159362793,0.09010434150695801,0.0662238597869873,0.07799029350280762,0.10343003273010254,0.09681081771850586,0.07146835327148438,0.11179399490356445,0.09784412384033203,0.06779026985168457,0.035939931869506836,0.11003255844116211,0.174454927444458,0.07915019989013672,0.06613397598266602,0.041097402572631836,0.03750920295715332,0.05844902992248535,0.06829380989074707,0.04133248329162598,0.06861066818237305,0.06088137626647949,0.07922768592834473,0.11056900024414062,0.14992809295654297,0.0486149787902832,0.09485960006713867,0.05001473426818848,0.06473922729492188,0.07842397689819336,0.0424199104309082,0.10973763465881348,0.07199501991271973,0.030621767044067383,0.06661176681518555,0.04387927055358887,0.07402682304382324,0.06284737586975098,0.07818293571472168,0.038518428802490234,0.06519246101379395,0.08335733413696289,0.05459022521972656,0.09556722640991211,0.09044933319091797,0.08237147331237793,0.04257607460021973,0.06818008422851562,0.10440611839294434,0.06937026977539062,0.11852455139160156,0.08324432373046875,0.048020362854003906,0.04282402992248535,0.06926870346069336,0.11362481117248535,0.07181239128112793,0.052016258239746094,0.06602931022644043,0.062381744384765625,0.061240434646606445,0.03860974311828613,0.027463912963867188,0.0704202651977539,0.06424927711486816,0.055147409439086914,0.061573028564453125,0.041284799575805664,0.08032488822937012,0.05428743362426758,0.05178403854370117,0.040941715240478516,0.08038544654846191,0.04392504692077637,0.10922694206237793
0.09,0.05662727355957031,0.0750432014465332,0.08971858024597168,0.04055643081665039,0.09991598129272461,0.0999140739440918,0.10570883750915527,0.1255180835723877,0.12902188301086426,0.04611945152282715,0.056203603744506836,0.0711820125579834,0.10229206085205078,0.17887639999389648,0.043085336685180664,0.05551600456237793,0.18179631233215332,0.08378434181213379,0.07880163192749023,0.03839850425720215,0.06088662147521973,0.07297563552856445,0.095794677734375,0.0956888198852539,0.10368061065673828,0.1034998893737793,0.1908884048461914,0.08453631401062012,0.09996938705444336,0.06332159042358398,0.1018519401550293,0.0632009506225586,0.03446602821350098,0.12148404121398926,0.13698601722717285,0.19545578956604004,0.12025713920593262,0.0558924674987793,0.11319398880004883,0.12014007568359375,0.06098055839538574,0.05316781997680664,0.08705735206604004,0.09658312797546387,0.10320067405700684,0.10620808601379395,0.04366135597229004,0.05012774467468262,0.06437420845031738,0.10562539100646973,0.03823542594909668,0.08043360710144043,0.03169369697570801,0.11596226692199707,0.12190604209899902,0.05048418045043945,0.09896111488342285,0.1608426570892334,0.05623149871826172,0.04270815849304199,0.06299829483032227,0.0989387035369873,0.08020710945129395,0.09800052642822266,0.08384537696838379,0.06680178642272949,0.056200504302978516,0.04730105400085449,0.08363175392150879,0.04084014892578125,0.08127570152282715,0.05885720252990723,0.08612370491027832,0.18129682540893555,0.10202860832214355,0.08616924285888672,0.08768057823181152,0.10149288177490234,0.11699080467224121,0.09251689910888672,0.049651384353637695,0.07706975936889648,0.05195021629333496,0.04888200759887695,0.06871271133422852,0.059850215911865234,0.07368922233581543,0.0672755241394043,0.09363555908203125,0.07050347328186035,0.04180335998535156,0.09609675407409668,0.0307462215423584,0.05487322807312012,0.09438705444335938,0.0895683765411377,0.11353302001953125,0.06110858917236328,0.05622363090515137,0.07039618492126465
