gene_count,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99
1000,0.018283843994140625,0.017869949340820312,0.0176393985748291,0.019115924835205078,0.02525639533996582,0.024552583694458008,0.024674654006958008,0.025249719619750977,0.025651216506958008,0.02509903907775879,0.008686304092407227,0.008664846420288086,0.008712530136108398,0.00960540771484375,0.009713411331176758,0.009669780731201172,0.009890317916870117,0.008510112762451172,0.01643967628479004,0.016478538513183594,0.016656875610351562,0.01682758331298828,0.016835451126098633,0.016770601272583008,0.010886192321777344,0.011468172073364258,0.011566162109375,0.012053489685058594,0.015302896499633789,0.01563549041748047,0.015447854995727539,0.015551328659057617,0.015558481216430664,0.016022205352783203,0.009702205657958984,0.010052919387817383,0.010088205337524414,0.010391712188720703,0.010930061340332031,0.011067628860473633,0.010932683944702148,0.011755943298339844,0.01691150665283203,0.01750659942626953,0.01721358299255371,0.01749730110168457,0.017783164978027344,0.018007755279541016,0.011368036270141602,0.011109113693237305,0.011426210403442383,0.0127410888671875,0.008557796478271484,0.00866842269897461,0.00864720344543457,0.008482933044433594,0.015759944915771484,0.015535354614257812,0.01540517807006836,0.01596546173095703,0.015907764434814453,0.015672683715820312,0.010183572769165039,0.010335683822631836,0.00998687744140625,0.009787797927856445,0.015649795532226562,0.01574993133544922,0.015825748443603516,0.01581740379333496,0.015511512756347656,0.01580071449279785,0.008085012435913086,0.0076656341552734375,0.008216142654418945,0.00882720947265625,0.007912158966064453,0.008336067199707031,0.008013248443603516,0.008279561996459961,0.013506650924682617,0.013620615005493164,0.013451814651489258,0.013569831848144531,0.013650178909301758,0.014169931411743164,0.007656097412109375,0.008136272430419922,0.008145570755004883,0.00885772705078125,0.007722139358520508,0.0071735382080078125,0.007474184036254883,0.007763862609863281,0.013082027435302734,0.012528181076049805,0.012972116470336914,0.012951135635375977,0.013145208358764648,0.013422727584838867
1100,0.01791691780090332,0.01764202117919922,0.018398046493530273,0.02131962776184082,0.009408712387084961,0.009617328643798828,0.028246164321899414,0.027800321578979492,0.028142213821411133,0.028369903564453125,0.00990605354309082,0.028293848037719727,0.029158830642700195,0.010822772979736328,0.0110931396484375,0.011078119277954102,0.011787891387939453,0.01071023941040039,0.017030000686645508,0.017230987548828125,0.016927003860473633,0.01763772964477539,0.017727136611938477,0.017316579818725586,0.008714914321899414,0.008418560028076172,0.008563041687011719,0.011208534240722656,0.011939048767089844,0.012422323226928711,0.012892484664916992,0.017965316772460938,0.01777172088623047,0.01839900016784668,0.018661022186279297,0.018199682235717773,0.010682106018066406,0.02044844627380371,0.010286092758178711,0.010575532913208008,0.010624408721923828,0.009127616882324219,0.007745027542114258,0.007664203643798828,0.015347003936767578,0.015149593353271484,0.015018224716186523,0.015525102615356445,0.015981674194335938,0.00814056396484375,0.015116691589355469,0.007983207702636719,0.008370637893676758,0.009166240692138672,0.008818626403808594,0.008495092391967773,0.013249397277832031,0.01328134536743164,0.013769149780273438,0.013288021087646484,0.0137786865234375,0.007636308670043945,0.013649940490722656,0.008138179779052734,0.00882863998413086,0.008266210556030273,0.008468866348266602,0.008510589599609375,0.008066177368164062,0.013891935348510742,0.01392507553100586,0.013677120208740234,0.013800382614135742,0.007745981216430664,0.014347553253173828,0.01451253890991211,0.008504390716552734,0.008922338485717773,0.008616209030151367,0.008672714233398438,0.00802159309387207,0.013782739639282227,0.014081716537475586,0.014194965362548828,0.013953208923339844,0.013926029205322266,0.008074283599853516,0.00825357437133789,0.014013290405273438,0.00819706916809082,0.008707046508789062,0.008600473403930664,0.008500337600708008,0.008179903030395508,0.01309823989868164,0.012725830078125,0.01453542709350586,0.014362335205078125,0.014403581619262695,0.013702630996704102
1200,0.018320083618164062,0.01797032356262207,0.01837944984436035,0.02110886573791504,0.027258872985839844,0.02654099464416504,0.026399850845336914,0.026877880096435547,0.02697443962097168,0.027044296264648438,0.009769201278686523,0.009890079498291016,0.015653610229492188,0.012380361557006836,0.010435104370117188,0.011688709259033203,0.010788679122924805,0.010169744491577148,0.01775646209716797,0.01785111427307129,0.01810932159423828,0.017896652221679688,0.018289804458618164,0.009903907775878906,0.010155439376831055,0.010071277618408203,0.016133785247802734,0.009495973587036133,0.008521556854248047,0.008953094482421875,0.009698867797851562,0.01399540901184082,0.014163017272949219,0.013790130615234375,0.014382600784301758,0.014867782592773438,0.008726358413696289,0.013505935668945312,0.008764505386352539,0.008684158325195312,0.008786916732788086,0.008776187896728516,0.014163732528686523,0.014623403549194336,0.014797449111938477,0.014043092727661133,0.008037328720092773,0.01490473747253418,0.008461952209472656,0.00854349136352539,0.01332855224609375,0.008411169052124023,0.009518861770629883,0.009063482284545898,0.00888681411743164,0.014331340789794922,0.007869720458984375,0.014212369918823242,0.013987064361572266,0.014870882034301758,0.014295101165771484,0.013211488723754883,0.008898258209228516,0.009069681167602539,0.008600711822509766,0.009543895721435547,0.007936477661132812,0.008317232131958008,0.013370513916015625,0.013946294784545898,0.008193254470825195,0.014104604721069336,0.013805389404296875,0.014081716537475586,0.013304710388183594,0.008772611618041992,0.008790016174316406,0.008836746215820312,0.008821249008178711,0.008655071258544922,0.013784170150756836,0.014255046844482422,0.013901710510253906,0.014190912246704102,0.013839960098266602,0.013792276382446289,0.008812427520751953,0.008466720581054688,0.009389638900756836,0.009301424026489258,0.008544921875,0.0086669921875,0.008781671524047852,0.013451814651489258,0.014124870300292969,0.01361393928527832,0.014803409576416016,0.014310836791992188,0.013962268829345703,0.008157730102539062
1300,0.018790721893310547,0.01938796043395996,0.019575834274291992,0.021912336349487305,0.027950525283813477,0.027907609939575195,0.028628110885620117,0.028186798095703125,0.028015613555908203,0.028133153915405273,0.010503292083740234,0.010818243026733398,0.011812210083007812,0.012495994567871094,0.011449337005615234,0.011674642562866211,0.011182308197021484,0.009997129440307617,0.016500234603881836,0.017096519470214844,0.017545223236083984,0.017112016677856445,0.017435312271118164,0.017409563064575195,0.00895547866821289,0.009158849716186523,0.009245634078979492,0.009152412414550781,0.008024454116821289,0.008162736892700195,0.013901472091674805,0.013802289962768555,0.01361536979675293,0.013533353805541992,0.013749361038208008,0.008158206939697266,0.01445460319519043,0.008490324020385742,0.00917673110961914,0.009174585342407227,0.008983135223388672,0.009062528610229492,0.013826370239257812,0.013996124267578125,0.014455795288085938,0.014482259750366211,0.014732837677001953,0.014508247375488281,0.008287429809570312,0.008603572845458984,0.00841069221496582,0.008949518203735352,0.009107828140258789,0.009118080139160156,0.008514881134033203,0.014400720596313477,0.014028787612915039,0.014564752578735352,0.014119148254394531,0.014532089233398438,0.008515596389770508,0.015122175216674805,0.009952306747436523,0.010612726211547852,0.011124134063720703,0.010231733322143555,0.0172882080078125,0.017183542251586914,0.016043663024902344,0.017296314239501953,0.016817569732666016,0.016490936279296875,0.01065206527709961,0.011043787002563477,0.01248478889465332,0.014706611633300781,0.012394428253173828,0.013125419616699219,0.011974811553955078,0.017571687698364258,0.0178835391998291,0.017751216888427734,0.017696380615234375,0.018538713455200195,0.0185391902923584,0.010025739669799805,0.009221315383911133,0.010037660598754883,0.009370565414428711,0.009124994277954102,0.013739347457885742,0.013817310333251953,0.014257669448852539,0.008708715438842773,0.013890981674194336,0.014744758605957031,0.008657455444335938,0.014410734176635742,0.008319616317749023,0.008349895477294922
1400,0.019499778747558594,0.0189666748046875,0.020534992218017578,0.02030658721923828,0.027831315994262695,0.027873992919921875,0.028321504592895508,0.029369592666625977,0.02941107749938965,0.029855012893676758,0.011891841888427734,0.011729717254638672,0.012898445129394531,0.013405084609985352,0.012314796447753906,0.012940406799316406,0.014037132263183594,0.012020111083984375,0.019344091415405273,0.019852161407470703,0.019865989685058594,0.019509315490722656,0.01989293098449707,0.019908428192138672,0.01117396354675293,0.010779857635498047,0.0102996826171875,0.010806083679199219,0.01504373550415039,0.014818906784057617,0.015070438385009766,0.014636516571044922,0.00822758674621582,0.008938789367675781,0.01611471176147461,0.009158134460449219,0.008354663848876953,0.01631617546081543,0.009315013885498047,0.00920414924621582,0.009078025817871094,0.009852409362792969,0.014252424240112305,0.01406240463256836,0.014335155487060547,0.014561891555786133,0.013794422149658203,0.014487028121948242,0.008748292922973633,0.00870060920715332,0.008866310119628906,0.008923530578613281,0.013720273971557617,0.00898432731628418,0.008564949035644531,0.008556604385375977,0.013902425765991211,0.013741731643676758,0.014810800552368164,0.015490531921386719,0.009365320205688477,0.013942718505859375,0.009105682373046875,0.009492158889770508,0.009943485260009766,0.009048938751220703,0.014302492141723633,0.013895511627197266,0.015342235565185547,0.01489567756652832,0.014357805252075195,0.014407634735107422,0.008761405944824219,0.009317159652709961,0.009100198745727539,0.008861780166625977,0.008922100067138672,0.009050607681274414,0.013297319412231445,0.013847827911376953,0.00878763198852539,0.00865316390991211,0.015120983123779297,0.015753507614135742,0.016201257705688477,0.016762971878051758,0.00881052017211914,0.008633852005004883,0.009055614471435547,0.009619712829589844,0.013817310333251953,0.013720035552978516,0.008111238479614258,0.008404016494750977,0.012873649597167969,0.013863801956176758,0.009418487548828125,0.013931989669799805,0.008553504943847656,0.013801336288452148
1500,0.016674041748046875,0.016807079315185547,0.01748967170715332,0.02112412452697754,0.024011611938476562,0.024282455444335938,0.0247647762298584,0.025145530700683594,0.025586366653442383,0.025460243225097656,0.011125802993774414,0.010339021682739258,0.009754419326782227,0.016489267349243164,0.010111570358276367,0.010306835174560547,0.01076507568359375,0.01380300521850586,0.013940572738647461,0.014277935028076172,0.014083623886108398,0.014847517013549805,0.009614229202270508,0.00887918472290039,0.008692502975463867,0.014061689376831055,0.009537935256958008,0.009135007858276367,0.008534908294677734,0.0133819580078125,0.014459848403930664,0.01470947265625,0.014958381652832031,0.008090972900390625,0.014500856399536133,0.00889134407043457,0.008641242980957031,0.008411884307861328,0.013329267501831055,0.009036064147949219,0.008554697036743164,0.01389002799987793,0.00846552848815918,0.007999897003173828,0.014049291610717773,0.014497041702270508,0.014109134674072266,0.014761686325073242,0.011646270751953125,0.015467405319213867,0.010544776916503906,0.011008024215698242,0.011398792266845703,0.014036893844604492,0.010126352310180664,0.016859054565429688,0.018308639526367188,0.01876378059387207,0.010733604431152344,0.018308639526367188,0.010049581527709961,0.013539791107177734,0.010478019714355469,0.015248298645019531,0.009490728378295898,0.008800029754638672,0.008561372756958008,0.009827375411987305,0.013664722442626953,0.0139312744140625,0.014538049697875977,0.014978408813476562,0.01424860954284668,0.009298324584960938,0.010045051574707031,0.009911537170410156,0.014510631561279297,0.011346578598022461,0.008525371551513672,0.009006023406982422,0.014435291290283203,0.014207601547241211,0.014692068099975586,0.014379739761352539,0.008450746536254883,0.015214204788208008,0.00923013687133789,0.008912324905395508,0.008794546127319336,0.014632225036621094,0.008953332901000977,0.009824514389038086,0.00852513313293457,0.014685392379760742,0.015029668807983398,0.015319585800170898,0.014653921127319336,0.008852958679199219,0.008552789688110352,0.009907245635986328
1600,0.019524574279785156,0.01852273941040039,0.021746158599853516,0.022616863250732422,0.027441978454589844,0.02831721305847168,0.02808403968811035,0.02801823616027832,0.030801057815551758,0.030852317810058594,0.013882160186767578,0.013017892837524414,0.013510704040527344,0.019870281219482422,0.012160301208496094,0.010836362838745117,0.009859323501586914,0.009852886199951172,0.01749253273010254,0.018070220947265625,0.018811941146850586,0.010311603546142578,0.01927804946899414,0.020666837692260742,0.015947341918945312,0.012115716934204102,0.013335227966308594,0.013511896133422852,0.012378692626953125,0.017852067947387695,0.01872396469116211,0.018828392028808594,0.01706385612487793,0.012114286422729492,0.010401487350463867,0.017183542251586914,0.010970354080200195,0.008899211883544922,0.01766681671142578,0.008961200714111328,0.01358795166015625,0.009722471237182617,0.009172677993774414,0.014854192733764648,0.014711856842041016,0.009571552276611328,0.01466512680053711,0.014914751052856445,0.008892297744750977,0.013638973236083984,0.009024620056152344,0.009422063827514648,0.008809804916381836,0.014808893203735352,0.014124393463134766,0.013866424560546875,0.008559465408325195,0.014757394790649414,0.009428024291992188,0.014518260955810547,0.013042211532592773,0.01092386245727539,0.009377717971801758,0.009001970291137695,0.012627601623535156,0.009112358093261719,0.014430522918701172,0.013808012008666992,0.008880138397216797,0.010068416595458984,0.013695478439331055,0.01357722282409668,0.009156465530395508,0.013738393783569336,0.008980989456176758,0.009131669998168945,0.008542537689208984,0.013426065444946289,0.014002084732055664,0.014187335968017578,0.00896000862121582,0.01404714584350586,0.009461164474487305,0.013649463653564453,0.008401155471801758,0.008467912673950195,0.014018774032592773,0.009431838989257812,0.013756036758422852,0.008928537368774414,0.013643503189086914,0.013786792755126953,0.00895237922668457,0.008978128433227539,0.008009910583496094,0.013747930526733398,0.015549421310424805,0.013839006423950195,0.010062932968139648,0.008848190307617188
1700,0.017305850982666016,0.017331600189208984,0.018064498901367188,0.018758296966552734,0.024459362030029297,0.02414989471435547,0.024501562118530273,0.024425983428955078,0.008057117462158203,0.00826120376586914,0.02533102035522461,0.025069236755371094,0.008818387985229492,0.009741783142089844,0.011472702026367188,0.012061595916748047,0.012295961380004883,0.011218786239624023,0.018067359924316406,0.017813920974731445,0.018133878707885742,0.017940998077392578,0.018126964569091797,0.018540143966674805,0.008829832077026367,0.009189367294311523,0.008903264999389648,0.008983612060546875,0.008954286575317383,0.00825357437133789,0.008188724517822266,0.014003276824951172,0.013805866241455078,0.014304637908935547,0.014325141906738281,0.008890151977539062,0.014207124710083008,0.014388322830200195,0.009254217147827148,0.009175777435302734,0.009368896484375,0.009633064270019531,0.013492345809936523,0.0140380859375,0.014223098754882812,0.014690637588500977,0.008275508880615234,0.013858318328857422,0.014521360397338867,0.008183002471923828,0.008019685745239258,0.00868082046508789,0.008700847625732422,0.009272098541259766,0.009166955947875977,0.00853109359741211,0.014152050018310547,0.014147520065307617,0.014564037322998047,0.015395641326904297,0.014135122299194336,0.014285087585449219,0.008801460266113281,0.009726762771606445,0.008893489837646484,0.008855819702148438,0.013181924819946289,0.013370037078857422,0.00830984115600586,0.008551359176635742,0.013349533081054688,0.014021873474121094,0.014194726943969727,0.014292716979980469,0.008478879928588867,0.010331392288208008,0.009102106094360352,0.00991511344909668,0.008520841598510742,0.008750677108764648,0.013853311538696289,0.013919591903686523,0.014096498489379883,0.01467585563659668,0.015142202377319336,0.014905214309692383,0.009276866912841797,0.010280609130859375,0.00911712646484375,0.00952911376953125,0.01307821273803711,0.00850820541381836,0.014506816864013672,0.008299112319946289,0.008614540100097656,0.01372671127319336,0.01380777359008789,0.008033990859985352,0.013457059860229492,0.01441812515258789
1800,0.020572662353515625,0.020918607711791992,0.021006345748901367,0.019566059112548828,0.029362916946411133,0.029239892959594727,0.02907109260559082,0.028284311294555664,0.029299259185791016,0.030721664428710938,0.010656356811523438,0.010605812072753906,0.011073827743530273,0.013075113296508789,0.011055469512939453,0.011239051818847656,0.011592388153076172,0.010002613067626953,0.018123149871826172,0.017123699188232422,0.018175601959228516,0.018123626708984375,0.018460988998413086,0.018153667449951172,0.008378982543945312,0.008463859558105469,0.009037971496582031,0.009701013565063477,0.008020639419555664,0.008811712265014648,0.008369207382202148,0.008611440658569336,0.013820409774780273,0.014654159545898438,0.014748334884643555,0.014654159545898438,0.015073299407958984,0.015680789947509766,0.008206844329833984,0.008816957473754883,0.008478641510009766,0.00919032096862793,0.013540267944335938,0.007833242416381836,0.007925748825073242,0.01429605484008789,0.014440536499023438,0.014924287796020508,0.01451253890991211,0.01613593101501465,0.008273124694824219,0.008991241455078125,0.008967876434326172,0.009565353393554688,0.009170293807983398,0.009531021118164062,0.014432430267333984,0.014692544937133789,0.014600276947021484,0.014316082000732422,0.014455795288085938,0.015787601470947266,0.008536100387573242,0.008337020874023438,0.008794307708740234,0.009496450424194336,0.009514331817626953,0.009337186813354492,0.014741897583007812,0.013706207275390625,0.009889841079711914,0.015114307403564453,0.014624834060668945,0.015267372131347656,0.015605449676513672,0.010967493057250977,0.012812137603759766,0.013909578323364258,0.013622283935546875,0.013340950012207031,0.018716812133789062,0.02055644989013672,0.009963035583496094,0.018540382385253906,0.019354820251464844,0.019783496856689453,0.010523080825805664,0.02035069465637207,0.009765863418579102,0.008835315704345703,0.008906841278076172,0.009154796600341797,0.013138532638549805,0.015091657638549805,0.008647680282592773,0.008656024932861328,0.014484405517578125,0.015136957168579102,0.016025781631469727,0.014833688735961914
1900,0.022114992141723633,0.022382736206054688,0.02220606803894043,0.024519920349121094,0.03158211708068848,0.03292107582092285,0.032712697982788086,0.03264260292053223,0.011514425277709961,0.03314709663391113,0.011712312698364258,0.011984109878540039,0.03433394432067871,0.014346122741699219,0.011229515075683594,0.011967897415161133,0.011780023574829102,0.017899274826049805,0.011129140853881836,0.017563343048095703,0.0190427303314209,0.018564462661743164,0.019472122192382812,0.018594980239868164,0.009060144424438477,0.00862741470336914,0.009431600570678711,0.008641481399536133,0.008809566497802734,0.00877833366394043,0.013733148574829102,0.01025080680847168,0.01439976692199707,0.014605998992919922,0.01549983024597168,0.01425027847290039,0.008922576904296875,0.01802539825439453,0.008852958679199219,0.009224653244018555,0.00865316390991211,0.008867740631103516,0.014429092407226562,0.014641523361206055,0.00829172134399414,0.014404535293579102,0.008687734603881836,0.015707969665527344,0.008563995361328125,0.016002178192138672,0.015044212341308594,0.008310079574584961,0.009073972702026367,0.009121894836425781,0.008903264999389648,0.008094310760498047,0.014895200729370117,0.014830589294433594,0.01397395133972168,0.015644311904907227,0.014998674392700195,0.00847005844116211,0.009488105773925781,0.00845956802368164,0.015296220779418945,0.008568286895751953,0.008153915405273438,0.008121728897094727,0.008458852767944336,0.01409769058227539,0.014555215835571289,0.01389169692993164,0.008467674255371094,0.01550436019897461,0.014079570770263672,0.017063379287719727,0.008988380432128906,0.009416818618774414,0.008834600448608398,0.008545875549316406,0.014184951782226562,0.01375579833984375,0.013731241226196289,0.008544206619262695,0.008899450302124023,0.009716033935546875,0.013673543930053711,0.008140802383422852,0.013648748397827148,0.014575481414794922,0.009025812149047852,0.00836801528930664,0.009206295013427734,0.008746862411499023,0.013844728469848633,0.014929056167602539,0.01539754867553711,0.013318300247192383,0.013581037521362305,0.012842893600463867
