rho,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99
0.01,0.042923688888549805,0.042501211166381836,0.0432429313659668,0.04460477828979492,0.03641629219055176,0.038797855377197266,0.039259910583496094,0.08166241645812988,0.04154014587402344,0.08435177803039551,0.08452343940734863,0.08538436889648438,0.08494734764099121,0.08502912521362305,0.042237281799316406,0.047814130783081055,0.04954814910888672,0.05349016189575195,0.07821249961853027,0.07699775695800781,0.07656717300415039,0.07747006416320801,0.08010530471801758,0.0800325870513916,0.046993255615234375,0.049967050552368164,0.047925710678100586,0.07856464385986328,0.034830331802368164,0.04791569709777832,0.03552055358886719,0.0359654426574707,0.0809481143951416,0.08007550239562988,0.08024311065673828,0.08058786392211914,0.08020877838134766,0.035611629486083984,0.03594088554382324,0.03510761260986328,0.035399675369262695,0.07374453544616699,0.03457808494567871,0.033789873123168945,0.03409862518310547,0.03396892547607422,0.035141944885253906,0.07500767707824707,0.07591056823730469,0.07561492919921875,0.07592368125915527,0.03668856620788574,0.07446622848510742,0.03581380844116211,0.037248849868774414,0.03698134422302246,0.07554912567138672,0.0389101505279541,0.03753948211669922,0.03612112998962402,0.03598213195800781,0.07673883438110352,0.07669425010681152,0.07744216918945312,0.035759687423706055,0.07914328575134277,0.037854909896850586,0.07815909385681152,0.03673148155212402,0.03555154800415039,0.036048173904418945,0.07635641098022461,0.03592228889465332,0.035515546798706055,0.0338590145111084,0.03455638885498047,0.03387093544006348,0.0758049488067627,0.03402352333068848,0.07661890983581543,0.07673072814941406,0.07557249069213867,0.07431364059448242,0.034288644790649414,0.035048723220825195,0.035105228424072266,0.07302284240722656,0.03510618209838867,0.033815622329711914,0.033602237701416016,0.034058332443237305,0.03406357765197754,0.07436943054199219,0.07428908348083496,0.07379746437072754,0.0752873420715332,0.07449054718017578,0.05243086814880371,0.03386688232421875,0.03265261650085449
0.011,0.038469791412353516,0.038614511489868164,0.039093017578125,0.03799581527709961,0.03580141067504883,0.07426309585571289,0.0747683048248291,0.03640580177307129,0.0749664306640625,0.036383867263793945,0.07490396499633789,0.07479739189147949,0.07490730285644531,0.0372922420501709,0.03169870376586914,0.03255605697631836,0.032566070556640625,0.031998634338378906,0.03147745132446289,0.031929969787597656,0.03138422966003418,0.03190875053405762,0.07176971435546875,0.0711362361907959,0.07210278511047363,0.07166647911071777,0.0722050666809082,0.07284903526306152,0.03372335433959961,0.03443336486816406,0.03414797782897949,0.034809112548828125,0.031935930252075195,0.032338857650756836,0.03206014633178711,0.03236126899719238,0.07056331634521484,0.07106661796569824,0.07133102416992188,0.07060623168945312,0.07109808921813965,0.0724637508392334,0.03218865394592285,0.03232836723327637,0.03292560577392578,0.03330206871032715,0.03209400177001953,0.03211021423339844,0.03234052658081055,0.0324554443359375,0.06918931007385254,0.06960153579711914,0.06966471672058105,0.0690758228302002,0.0702672004699707,0.06979823112487793,0.032166481018066406,0.0323793888092041,0.03266143798828125,0.03223776817321777,0.0315859317779541,0.031104564666748047,0.03156638145446777,0.032320499420166016,0.06745624542236328,0.06845569610595703,0.06825113296508789,0.06795978546142578,0.06849074363708496,0.06873965263366699,0.03295445442199707,0.03316831588745117,0.03297257423400879,0.034287452697753906,0.03185868263244629,0.031484365463256836,0.031789541244506836,0.033762216567993164,0.0684366226196289,0.07015323638916016,0.07020044326782227,0.07035565376281738,0.06953620910644531,0.07029891014099121,0.03324389457702637,0.033327579498291016,0.033681631088256836,0.0324094295501709,0.03249669075012207,0.03200721740722656,0.03277778625488281,0.03295016288757324,0.057036638259887695,0.057029008865356445,0.06572937965393066,0.06870818138122559,0.0689840316772461,0.06951332092285156,0.032093048095703125,0.034578800201416016
0.011999999999999999,0.03904104232788086,0.040209054946899414,0.041640520095825195,0.04295802116394043,0.02753281593322754,0.027869224548339844,0.02886033058166504,0.02868938446044922,0.07639241218566895,0.0767207145690918,0.07735371589660645,0.0767822265625,0.07736897468566895,0.07777833938598633,0.03033614158630371,0.02973318099975586,0.029131650924682617,0.028773784637451172,0.02821063995361328,0.02840590476989746,0.027940750122070312,0.027915000915527344,0.062126874923706055,0.06249570846557617,0.062713623046875,0.06219124794006348,0.062499046325683594,0.06222796440124512,0.029365062713623047,0.029079675674438477,0.029112577438354492,0.029802799224853516,0.03013134002685547,0.029624223709106445,0.028760910034179688,0.02965545654296875,0.06215476989746094,0.0622861385345459,0.06199169158935547,0.06247210502624512,0.06267595291137695,0.06261897087097168,0.030412912368774414,0.030084848403930664,0.029298782348632812,0.030440807342529297,0.02895331382751465,0.030024290084838867,0.02987837791442871,0.029611825942993164,0.06290841102600098,0.06235504150390625,0.0627739429473877,0.06313014030456543,0.06360054016113281,0.06441187858581543,0.030043601989746094,0.02972412109375,0.030965328216552734,0.02967071533203125,0.028936386108398438,0.029310226440429688,0.02925395965576172,0.031418800354003906,0.06293058395385742,0.0629420280456543,0.06310892105102539,0.06364703178405762,0.06331062316894531,0.06429314613342285,0.03065347671508789,0.03098273277282715,0.03179454803466797,0.029963970184326172,0.029775381088256836,0.029926061630249023,0.02921581268310547,0.029152631759643555,0.06549191474914551,0.0655207633972168,0.029851436614990234,0.029441118240356445,0.0659639835357666,0.0670173168182373,0.06556487083435059,0.06461477279663086,0.03025984764099121,0.03040766716003418,0.03157377243041992,0.031767845153808594,0.03171563148498535,0.03180122375488281,0.05126166343688965,0.03040599822998047,0.062192440032958984,0.03100872039794922,0.06347060203552246,0.06534600257873535,0.06478214263916016,0.06536197662353516
0.012999999999999998,0.038526058197021484,0.03824210166931152,0.039423465728759766,0.039556026458740234,0.025906085968017578,0.02608466148376465,0.025496721267700195,0.026185274124145508,0.07201123237609863,0.07286953926086426,0.07359004020690918,0.07305908203125,0.07385540008544922,0.07417058944702148,0.027380943298339844,0.027536392211914062,0.027970075607299805,0.027303457260131836,0.026453256607055664,0.026675939559936523,0.02621746063232422,0.026080846786499023,0.05713081359863281,0.05649685859680176,0.057504892349243164,0.057507991790771484,0.058077335357666016,0.05711483955383301,0.02752399444580078,0.027425050735473633,0.027772188186645508,0.02827906608581543,0.027741432189941406,0.028431415557861328,0.02890467643737793,0.029434919357299805,0.057492971420288086,0.05803227424621582,0.0590362548828125,0.05748724937438965,0.057019710540771484,0.05750274658203125,0.02782440185546875,0.027847766876220703,0.028267383575439453,0.027698278427124023,0.027899980545043945,0.027226924896240234,0.027269363403320312,0.028135299682617188,0.05855250358581543,0.05866074562072754,0.05904030799865723,0.05889463424682617,0.05927538871765137,0.0597994327545166,0.028047800064086914,0.02765178680419922,0.028107643127441406,0.02865743637084961,0.027642011642456055,0.027951955795288086,0.027675151824951172,0.02823638916015625,0.05875229835510254,0.058118581771850586,0.0594639778137207,0.05934953689575195,0.05987429618835449,0.059545040130615234,0.028868436813354492,0.02913951873779297,0.028777360916137695,0.029276132583618164,0.02770709991455078,0.027489900588989258,0.028391122817993164,0.028540849685668945,0.060277700424194336,0.06041121482849121,0.06196427345275879,0.06132197380065918,0.06191515922546387,0.0623774528503418,0.02941298484802246,0.029242277145385742,0.030200958251953125,0.030003786087036133,0.028959035873413086,0.028643369674682617,0.02882528305053711,0.02837538719177246,0.048815250396728516,0.04973244667053223,0.056435585021972656,0.05726766586303711,0.05919933319091797,0.05987358093261719,0.027472734451293945,0.02839207649230957
0.013999999999999997,0.034477949142456055,0.03499555587768555,0.03524470329284668,0.040444374084472656,0.029050827026367188,0.03022003173828125,0.0664052963256836,0.06641077995300293,0.06647562980651855,0.06692147254943848,0.06772232055664062,0.0329442024230957,0.06824350357055664,0.03070974349975586,0.026933670043945312,0.02751302719116211,0.02703261375427246,0.02671217918395996,0.025950908660888672,0.02664494514465332,0.026217222213745117,0.05712556838989258,0.026313304901123047,0.05777263641357422,0.05811166763305664,0.0578920841217041,0.05800962448120117,0.05935096740722656,0.027544736862182617,0.02740001678466797,0.027104616165161133,0.0286712646484375,0.02736520767211914,0.026752710342407227,0.026612281799316406,0.055342912673950195,0.02665114402770996,0.05454897880554199,0.05618619918823242,0.05576610565185547,0.05558943748474121,0.057529449462890625,0.027266502380371094,0.02767658233642578,0.026630640029907227,0.02744150161743164,0.026126623153686523,0.026230812072753906,0.026281118392944336,0.026456832885742188,0.05602741241455078,0.05643725395202637,0.05617046356201172,0.056003570556640625,0.05596280097961426,0.05579209327697754,0.0265810489654541,0.026398658752441406,0.02802133560180664,0.027187347412109375,0.026221036911010742,0.026331663131713867,0.026307344436645508,0.02714061737060547,0.056554555892944336,0.05651450157165527,0.05672907829284668,0.05680370330810547,0.05654191970825195,0.05484151840209961,0.02775716781616211,0.030282974243164062,0.02963542938232422,0.030298709869384766,0.027874231338500977,0.028160572052001953,0.0279693603515625,0.026746511459350586,0.05695509910583496,0.056540727615356445,0.05790901184082031,0.057106733322143555,0.058261871337890625,0.05709671974182129,0.02736830711364746,0.02680492401123047,0.027697086334228516,0.02918839454650879,0.026979923248291016,0.027731657028198242,0.02762627601623535,0.026735544204711914,0.05449223518371582,0.05542469024658203,0.05555319786071777,0.05558347702026367,0.055590152740478516,0.05669450759887695,0.026034832000732422,0.02622532844543457
0.014999999999999996,0.03185129165649414,0.03461503982543945,0.03490900993347168,0.03673887252807617,0.026596784591674805,0.06035780906677246,0.026825904846191406,0.06187081336975098,0.06078648567199707,0.06146407127380371,0.061910390853881836,0.061669349670410156,0.02661299705505371,0.02912616729736328,0.02587890625,0.025033950805664062,0.02550482749938965,0.0253145694732666,0.024596691131591797,0.02398395538330078,0.024315595626831055,0.024797677993774414,0.05369114875793457,0.0540468692779541,0.0544438362121582,0.05490469932556152,0.05510449409484863,0.05549502372741699,0.025844812393188477,0.025468826293945312,0.026183605194091797,0.026068449020385742,0.024939537048339844,0.026087522506713867,0.024890422821044922,0.026232004165649414,0.05285906791687012,0.05286097526550293,0.052167415618896484,0.0529024600982666,0.05232644081115723,0.05303478240966797,0.025582075119018555,0.025752782821655273,0.024874448776245117,0.02499532699584961,0.02492833137512207,0.024324417114257812,0.025041818618774414,0.024936437606811523,0.052896738052368164,0.05318284034729004,0.053548336029052734,0.053084373474121094,0.053934335708618164,0.0538175106048584,0.024302959442138672,0.02523040771484375,0.02602410316467285,0.030904293060302734,0.024628162384033203,0.02491593360900879,0.024993896484375,0.026936054229736328,0.05322718620300293,0.053518056869506836,0.053655385971069336,0.05473518371582031,0.05382585525512695,0.05425429344177246,0.027090787887573242,0.027237892150878906,0.02805328369140625,0.02802252769470215,0.024342060089111328,0.024721145629882812,0.024652957916259766,0.02412128448486328,0.056385040283203125,0.05637192726135254,0.05637407302856445,0.05733847618103027,0.0566408634185791,0.05655813217163086,0.02573227882385254,0.027105331420898438,0.02485942840576172,0.025402307510375977,0.02566242218017578,0.025790691375732422,0.02523064613342285,0.02593398094177246,0.04689288139343262,0.05105757713317871,0.05263805389404297,0.05296730995178223,0.052286386489868164,0.05387997627258301,0.02471017837524414,0.02449178695678711
0.015999999999999993,0.0330204963684082,0.03368544578552246,0.03407096862792969,0.03544163703918457,0.04859805107116699,0.024151325225830078,0.05788397789001465,0.0238497257232666,0.05820798873901367,0.05820584297180176,0.058159589767456055,0.05921196937561035,0.024623394012451172,0.023088932037353516,0.02372145652770996,0.0229341983795166,0.022910594940185547,0.05026078224182129,0.02322077751159668,0.02268362045288086,0.022846221923828125,0.049140214920043945,0.02396225929260254,0.04937624931335449,0.0509488582611084,0.05022096633911133,0.051865577697753906,0.023358583450317383,0.023696184158325195,0.024629831314086914,0.023781538009643555,0.0472567081451416,0.023381948471069336,0.024197101593017578,0.024785757064819336,0.024183273315429688,0.048889875411987305,0.04880213737487793,0.04796171188354492,0.04947161674499512,0.049646854400634766,0.023609638214111328,0.025397062301635742,0.024394750595092773,0.048079490661621094,0.024012327194213867,0.022925376892089844,0.022940874099731445,0.023998498916625977,0.023439645767211914,0.048650503158569336,0.05034327507019043,0.049726009368896484,0.049971818923950195,0.050620079040527344,0.02315497398376465,0.024279117584228516,0.02536940574645996,0.02405524253845215,0.048613786697387695,0.02419281005859375,0.0232391357421875,0.024875402450561523,0.0246732234954834,0.04784560203552246,0.049324989318847656,0.04844999313354492,0.0492403507232666,0.05108046531677246,0.025550365447998047,0.025889873504638672,0.026667118072509766,0.05011320114135742,0.026476383209228516,0.026279926300048828,0.023540735244750977,0.02321028709411621,0.049547433853149414,0.02402186393737793,0.05385780334472656,0.053843021392822266,0.02424144744873047,0.05276012420654297,0.05389857292175293,0.023703813552856445,0.023572444915771484,0.048082590103149414,0.023921966552734375,0.024402856826782227,0.02448248863220215,0.023921728134155273,0.04876875877380371,0.024167776107788086,0.04933309555053711,0.024367094039916992,0.049576759338378906,0.04916024208068848,0.05014204978942871,0.03804636001586914,0.02383112907409668
0.016999999999999994,0.031234264373779297,0.03216266632080078,0.03655576705932617,0.03670382499694824,0.02574777603149414,0.024626970291137695,0.05849432945251465,0.058257102966308594,0.058760643005371094,0.05917954444885254,0.05986523628234863,0.06062912940979004,0.025975942611694336,0.02608656883239746,0.022579193115234375,0.02281785011291504,0.022025346755981445,0.022360563278198242,0.021698713302612305,0.021691560745239258,0.021490812301635742,0.047655344009399414,0.04941415786743164,0.0496675968170166,0.0498046875,0.05105113983154297,0.02464127540588379,0.051682233810424805,0.022970914840698242,0.022777795791625977,0.022469282150268555,0.022629737854003906,0.022678613662719727,0.022742509841918945,0.021901369094848633,0.04616379737854004,0.04627585411071777,0.04629015922546387,0.023308753967285156,0.04689502716064453,0.04667329788208008,0.0459439754486084,0.023169517517089844,0.02347707748413086,0.023302316665649414,0.023311614990234375,0.022228240966796875,0.023644447326660156,0.0218355655670166,0.04598283767700195,0.04529166221618652,0.02248239517211914,0.04684877395629883,0.04708719253540039,0.05044722557067871,0.04755449295043945,0.02248978614807129,0.022861242294311523,0.022995948791503906,0.023222684860229492,0.022849559783935547,0.02172708511352539,0.021911144256591797,0.04458951950073242,0.04621481895446777,0.022347688674926758,0.04581332206726074,0.04756522178649902,0.04573631286621094,0.047049760818481445,0.02297353744506836,0.0230252742767334,0.022785425186157227,0.023311614990234375,0.022854089736938477,0.02361154556274414,0.023061275482177734,0.04879045486450195,0.02382493019104004,0.04793214797973633,0.04763650894165039,0.04830789566040039,0.048075199127197266,0.0482640266418457,0.02348184585571289,0.024086952209472656,0.023279666900634766,0.02269148826599121,0.023028850555419922,0.022483110427856445,0.023128747940063477,0.04631209373474121,0.023116111755371094,0.04575681686401367,0.04701089859008789,0.046376705169677734,0.04623985290527344,0.0468289852142334,0.022795677185058594,0.022400617599487305
0.017999999999999995,0.031053543090820312,0.0316469669342041,0.03431367874145508,0.03555941581726074,0.05519437789916992,0.02260613441467285,0.02287459373474121,0.054280996322631836,0.05531883239746094,0.055947303771972656,0.05663347244262695,0.056525230407714844,0.025313138961791992,0.026543378829956055,0.023442506790161133,0.023988723754882812,0.022988319396972656,0.024925708770751953,0.021375179290771484,0.02380084991455078,0.047849178314208984,0.04860234260559082,0.04828619956970215,0.04832935333251953,0.048853397369384766,0.04892253875732422,0.022803783416748047,0.02258920669555664,0.02366352081298828,0.02222418785095215,0.02162933349609375,0.027235984802246094,0.022129297256469727,0.044052839279174805,0.02294921875,0.0442657470703125,0.04470014572143555,0.043936967849731445,0.04405975341796875,0.04470372200012207,0.026294946670532227,0.022731542587280273,0.022993087768554688,0.023992300033569336,0.022271156311035156,0.022831439971923828,0.022285938262939453,0.04555916786193848,0.021518230438232422,0.04584550857543945,0.04607391357421875,0.04599952697753906,0.04627108573913574,0.046472787857055664,0.022284984588623047,0.02306962013244629,0.022274017333984375,0.02209639549255371,0.02182745933532715,0.02121138572692871,0.02145671844482422,0.021112442016601562,0.04468488693237305,0.045085906982421875,0.046739816665649414,0.04401063919067383,0.04605674743652344,0.044731855392456055,0.022016525268554688,0.02232074737548828,0.0220644474029541,0.022586584091186523,0.021694183349609375,0.022216081619262695,0.020948410034179688,0.021709918975830078,0.04607796669006348,0.04600024223327637,0.04631781578063965,0.04601621627807617,0.04694175720214844,0.04693889617919922,0.022301197052001953,0.022580862045288086,0.021846532821655273,0.02232193946838379,0.02160191535949707,0.021899700164794922,0.022774457931518555,0.023191452026367188,0.04613995552062988,0.04489564895629883,0.045771121978759766,0.04595661163330078,0.04479217529296875,0.046190738677978516,0.022412776947021484,0.022561073303222656,0.021312952041625977,0.022405385971069336
0.018999999999999993,0.028254985809326172,0.02894449234008789,0.030045032501220703,0.03298354148864746,0.021717548370361328,0.021451234817504883,0.021570682525634766,0.05340290069580078,0.053236961364746094,0.05438637733459473,0.053984880447387695,0.05428719520568848,0.021818876266479492,0.05583977699279785,0.02005743980407715,0.020034074783325195,0.01962900161743164,0.02074456214904785,0.020176172256469727,0.02080512046813965,0.020218372344970703,0.04181075096130371,0.04207658767700195,0.020542383193969727,0.0419468879699707,0.04280686378479004,0.04279041290283203,0.0420842170715332,0.020882606506347656,0.02163243293762207,0.022405624389648438,0.02270674705505371,0.021285295486450195,0.02148747444152832,0.02187824249267578,0.04199624061584473,0.0419926643371582,0.0426788330078125,0.0424802303314209,0.04162120819091797,0.042864322662353516,0.022215604782104492,0.021947622299194336,0.021392345428466797,0.022237062454223633,0.022439956665039062,0.02069854736328125,0.020975351333618164,0.02073073387145996,0.04317665100097656,0.04225969314575195,0.04276537895202637,0.04425621032714844,0.04317665100097656,0.044548749923706055,0.021756410598754883,0.021359920501708984,0.022814273834228516,0.02205801010131836,0.021241426467895508,0.021087169647216797,0.02087998390197754,0.021421194076538086,0.041756629943847656,0.04315376281738281,0.042699575424194336,0.04396796226501465,0.020491361618041992,0.04322052001953125,0.044942378997802734,0.022176742553710938,0.021384477615356445,0.021469831466674805,0.021800994873046875,0.021062374114990234,0.02142643928527832,0.02044367790222168,0.04313349723815918,0.04349064826965332,0.0205838680267334,0.04479098320007324,0.04443812370300293,0.043022871017456055,0.044164419174194336,0.021193742752075195,0.020981550216674805,0.021248340606689453,0.02166271209716797,0.021047353744506836,0.021750926971435547,0.021292924880981445,0.04290509223937988,0.04364633560180664,0.02301621437072754,0.04322981834411621,0.0449676513671875,0.044060468673706055,0.04674410820007324,0.02121901512145996,0.021979093551635742
