gene_count,theta,rho,d0,t0,d1,t1,d2,t2,d3,t3,d4,t4,d5,t5,d6,t6,d7,t7,d8,t8,d9,t9,d10,t10,d11,t11,d12,t12,d13,t13,d14,t14,d15,t15,d16,t16,d17,t17,d18,t18,d19,t19,d20,t20,d21,t21,d22,t22,d23,t23,d24,t24,d25,t25,d26,t26,d27,t27,d28,t28,d29,t29,d30,t30,d31,t31,d32,t32,d33,t33,d34,t34,d35,t35,d36,t36,d37,t37,d38,t38,d39,t39,d40,t40,d41,t41,d42,t42,d43,t43,d44,t44,d45,t45,d46,t46,d47,t47,d48,t48,d49,t49,d50,t50,d51,t51,d52,t52,d53,t53,d54,t54,d55,t55,d56,t56,d57,t57,d58,t58,d59,t59,d60,t60,d61,t61,d62,t62,d63,t63,d64,t64,d65,t65,d66,t66,d67,t67,d68,t68,d69,t69,d70,t70,d71,t71,d72,t72,d73,t73,d74,t74,d75,t75,d76,t76,d77,t77,d78,t78,d79,t79,d80,t80,d81,t81,d82,t82,d83,t83,d84,t84,d85,t85,d86,t86,d87,t87,d88,t88,d89,t89,d90,t90,d91,t91,d92,t92,d93,t93,d94,t94,d95,t95,d96,t96,d97,t97,d98,t98,d99,t99
7500,1500,0.40000000000000013,1849,11882,1795,11111,1869,11907,2223,14382,2111,14061,2495,16637,2432,16275,2522,16856,3358,22326,5763,42511,3855,27260,4103,28852,4535,32954,2972,19430,4686,33901,5006,38834,4911,36470,3264,22681,3847,29359,4542,32100,2463,16142,5378,39233,2787,19250,2275,15243,4128,30335,5761,44345,2752,18107,4130,29654,3645,25203,5741,43470,3152,21477,4296,31302,5086,37065,1562,9599,6791,53460,4285,31848,4841,36223,2736,18432,2204,13921,3378,24022,1770,11202,3142,22331,3301,21880,4467,31642,5440,41590,4521,33196,1906,11632,3180,20502,6844,53507,3725,26616,3836,27655,2257,14666,3495,24286,5377,40166,5849,45466,4545,32331,1900,12813,3797,25228,2427,15783,2257,14825,1819,11969,3103,22100,5147,37547,4572,34291,2229,14432,2922,18958,2219,14581,2735,18710,3019,20282,4021,26336,2862,20156,2391,15452,3799,26429,4865,36174,3570,25608,9232,75822,2703,18924,4945,34915,4461,32756,3980,29333,4818,36868,3937,29472,3908,28321,3854,28199,2569,17576,4172,31245,2863,20283,3780,26575,7043,56211,5126,36850,4720,35534,3382,25201,4178,28446,5913,44919,3512,24109,3979,29725,3910,26482,4477,32805,5571,40902,6960,54412
7500,1500,0.45000000000000007,1432,11100,2067,16183,1412,11199,1874,14225,2235,18430,2919,23873,3000,23337,2751,22942,2658,22535,3079,25955,3112,28215,3387,29775,3263,28534,3902,34844,2156,17427,2029,16332,4322,38961,2422,19946,3387,30315,1749,13957,2205,18878,3705,29416,2389,19800,1828,14164,5728,54302,2787,22775,2998,24017,3966,33896,6746,63474,2325,18472,2965,23737,6301,60492,2451,20041,2255,18804,3230,27990,3186,27673,2057,16414,2660,20425,2575,21641,3026,25720,3111,26100,2420,19078,2900,24614,5921,55855,1588,11505,2120,16496,2393,19864,3611,30083,3270,26933,1943,15393,2455,20566,4250,38201,6519,59871,3736,33735,3017,25555,3881,33954,5633,51153,4431,39815,3116,26479,1942,16234,4091,35999,1255,9579,3422,28845,4581,41280,2059,15565,4534,41764,3917,33818,4448,39804,1411,10870,4058,35953,3880,33859,3406,30102,1819,14784,2045,16225,5854,56336,2838,23185,3495,29172,1891,14643,1813,14605,4246,39147,3855,33234,2217,17349,6845,66268,3777,33532,3189,26229,2866,24036,2487,20839,1467,11234,1523,12086,3194,26927,2749,23377,2732,22547,3179,26664,5281,48172,1907,15022,2674,22017,5713,53767,2603,21487,3633,30981,8117,79286
7500,1500,0.5000000000000001,1974,19186,3217,32520,1984,19070,2073,20353,2121,21171,2252,21876,2512,25267,2633,25270,2558,27192,2547,26550,2176,20672,2716,27235,2839,30433,2816,30000,2039,18996,1617,15528,1980,19737,4062,43223,1952,18331,1538,14947,3224,32260,1853,17508,4472,47341,2762,28513,3090,31610,3559,36954,1749,16910,2586,25985,3589,36932,3316,33879,3706,37029,2437,23927,3574,36964,1085,10722,2662,27932,2032,19577,5164,55865,2621,25718,3122,31382,3292,33477,2578,25051,2688,24360,1799,16916,2716,26864,4596,49990,4025,43125,1438,13803,2852,29875,3421,36100,1267,11242,1873,17763,1794,17793,3558,35954,1795,17600,5246,56914,4731,52756,2165,19994,4579,49093,4236,45465,3566,38158,2421,24857,4238,44694,2872,29675,1868,18363,1773,16791,1982,18669,1284,11650,2628,28104,2404,23047,2279,22804,1683,16996,2817,28826,2093,21282,2404,23036,2646,25470,3078,32344,5195,58480,1602,15208,2832,29277,3632,38781,1746,16908,1944,18878,1783,17269,1481,14059,3136,30970,1672,16516,1786,16626,2276,21153,1619,15241,2199,21058,1473,13898,1446,12953,2791,27468,3549,37088,2596,24942,5574,63540,3389,36092,2694,27513,5117,58092,3480,37097
7500,1500,0.5500000000000002,2150,24855,1367,15436,1876,20529,1786,19861,1311,14639,2072,24509,2549,28750,3962,51252,2398,28882,2766,33097,1394,15418,2721,33190,3015,36634,3074,37908,3069,38740,2709,32204,1483,15233,1595,17451,1806,19760,2323,27547,2497,28889,4370,56369,1507,17389,2272,25841,3135,39184,3080,38585,2820,34524,1547,17424,1185,12378,1567,17192,2195,24421,1514,15439,1606,17931,3400,40706,1727,19534,1502,16817,2099,24111,3657,45716,1597,18002,2181,25931,1688,19049,1710,19051,3664,44468,2354,28850,4392,55426,2045,23371,2049,22702,5395,68298,2178,24717,2873,32602,5513,69647,3588,41419,1325,14956,1897,21714,1013,11103,2605,30425,2915,35687,4263,52735,1453,16874,1794,20877,1495,16312,2261,27169,3693,42952,2396,28359,2533,28646,1549,17947,3308,39056,1930,22432,2795,32132,5314,69186,1962,21044,1217,14344,1259,13748,3540,44162,1607,17242,1957,22216,1393,15071,1964,21649,3375,40641,1493,16926,2641,30087,2677,32407,3401,41459,1387,14116,1930,22109,2495,29558,2275,27572,3806,47151,2599,31562,1909,21460,1745,18955,2846,35151,3267,41230,2807,32727,2473,30931,2717,32041,3722,47919,2823,34834,3981,47992,2472,29382
7500,1500,0.6000000000000002,873,10376,1450,18825,1596,21264,1963,27295,3495,49179,2171,30304,2413,32163,2298,32893,4131,61208,2777,38908,2199,30577,1979,26401,1163,14885,2703,37456,1742,22423,2377,31890,2942,41745,3996,59128,2995,39889,3123,46535,2315,32897,4541,66337,4270,66659,4372,64289,2312,30368,2231,30355,3053,43551,1956,25445,1897,25515,2118,29114,4194,61862,1791,24142,2886,40065,2888,40231,2064,27223,2681,37695,1057,13225,1559,20470,3073,43477,4112,62605,3222,45721,3231,44981,1540,20307,1757,21896,1211,16278,2165,28329,2568,35256,2707,37730,2766,37779,2468,35262,2657,38355,5168,75290,2210,29302,956,12040,2737,37931,2520,33516,3487,51358,4428,65754,4315,61620,1655,22791,1892,25809,3100,43968,4971,75728,2903,40287,2326,31704,2747,37245,2342,32045,2720,38968,2378,31728,2930,40269,1471,19548,1866,25092,1777,23446,1027,13772,1220,15306,2426,31621,2885,41564,1499,20371,1899,26465,2146,29296,1650,21872,3466,50908,2385,34088,1236,14947,1696,21989,1015,14296,2593,36896,1245,15922,1526,20991,4680,69551,3401,49862,4095,61480,2044,28307,2617,36410,2086,27849,4042,61176,2384,31962,2484,34376,2458,35071,4303,63472
7500,1500,0.6500000000000001,1057,15759,1299,20001,1500,22997,1845,29226,2984,49271,3706,58792,2201,35421,2147,33551,2383,37312,1510,23526,1420,20651,2781,45721,1690,25739,2728,45007,2275,36051,2017,32629,3564,59949,2100,33613,1829,26808,2201,35692,2156,33461,3821,64352,1979,30650,1949,30385,2139,33735,2783,44810,4397,75503,1300,18502,1623,23116,3064,49029,3654,60690,991,14592,3102,49117,1068,16188,1267,19167,2849,44588,1939,30717,755,11132,1274,18857,1767,28420,1867,28579,4290,72899,2929,45375,1315,18516,2417,39387,2260,35529,1834,27733,2946,48705,2762,45138,1302,19141,1142,16089,2035,30497,2417,38276,4546,76184,3618,59502,2626,43762,2098,33813,2260,33942,1648,25092,2800,43204,1188,16961,1736,25984,3363,54929,1293,18251,2516,41037,2201,35807,3660,61169,2098,30524,1490,22571,1666,25884,682,10005,1718,27418,2455,39475,2640,42767,2816,46349,2227,36872,1293,19733,2230,35706,2227,34537,1679,24781,3348,55077,2458,37602,1168,17518,1249,18006,2089,33668,2369,36765,2896,47416,3000,49167,1982,29586,3608,59334,2515,40683,3033,50150,2030,30866,2178,35110,2003,31428,3408,59654,3977,67007,2643,44685,3843,65856,5914,102821
7500,1500,0.7000000000000002,728,12212,1700,29840,1624,29272,1478,26889,2561,46882,1681,28849,1940,34254,1331,21930,1424,25359,2152,38051,2353,42563,2200,39847,723,11293,2699,48590,1439,25914,2814,48375,2124,37870,3230,60092,3289,61175,1138,20393,3153,58708,1454,25832,1287,23160,2896,55344,2393,41534,2877,53628,2516,45811,3131,56755,1011,16715,2262,41005,1356,22744,2094,36850,1315,22519,2598,46857,2218,39382,2719,50055,1243,21238,2658,48798,3300,62188,1172,20782,2098,38850,1952,33759,2069,37209,1811,32685,1213,21001,1748,30443,1195,21530,1987,37320,1529,26622,4941,96593,1640,28128,945,15824,1985,37736,3583,68379,1697,31082,1353,24351,1369,24433,1841,33125,1715,30890,2449,45459,2896,54404,1518,25671,2163,39519,1118,19095,1114,18727,1735,31659,2547,47808,828,13596,1105,19810,3180,59014,1872,34604,1662,30173,2434,44344,2398,42590,1371,23947,1794,30349,2671,49001,1482,24506,2028,36501,1677,29623,1332,22841,2049,37861,1197,21182,1362,24425,1782,32156,1621,28443,883,14494,3606,69471,1429,24934,3460,65640,1204,20355,1094,18043,2099,35208,2430,44528,2077,36683,2964,55081,3670,71051,4935,94254,3392,63656,3122,57721
7500,1500,0.7500000000000002,1365,26403,1398,26739,1291,25169,1771,35659,1548,31008,1825,35320,2790,56935,1679,33720,1700,33772,2355,48121,568,9848,1203,22030,2261,44970,1059,19616,976,17531,2146,44530,2307,45285,2431,51001,894,17786,1873,38393,1741,33410,1629,32461,2171,45080,1055,19589,1586,31454,1942,40179,2066,41204,1551,30784,1965,37834,782,14163,1552,31596,1945,37738,2903,60090,772,14659,1943,38385,1663,32694,1358,27813,1139,21589,2480,50418,1510,29824,1485,28857,953,18926,1329,26336,1199,23194,2247,46891,2983,60296,2320,48231,1695,34295,1826,37087,1419,28923,2390,48540,3880,82020,3155,66530,1928,38053,935,16646,1625,33818,1910,38361,1775,34511,1750,35754,2328,49432,2085,43032,841,16072,2085,43823,2035,40161,2452,52353,1900,38191,1599,31711,2570,53890,930,18253,1271,23932,3636,78328,2569,53792,1558,30792,2363,48691,4748,103527,1635,33213,1578,32211,2933,61259,1834,38148,1683,34672,2005,41589,1907,37696,1914,38263,2212,46396,2768,57056,846,15362,1053,20432,2046,41300,1862,38585,1199,23903,2448,49796,943,18180,2321,45513,1680,33468,2009,40030,4224,90323,2232,45582,3063,65415,2379,50260,4837,102969
7500,1500,0.8000000000000002,746,16442,957,19787,969,21470,948,20622,1928,44320,1382,29659,1164,25860,1568,35202,1571,36273,1768,40015,3138,71858,1730,37821,1415,32235,2606,58945,2236,50959,1514,33038,1167,24381,2548,59836,1972,46470,1836,40209,2652,59429,1883,43474,1574,34120,2061,45308,1351,31345,1189,25699,1549,34872,2292,53906,2880,66365,4111,97256,992,20730,1271,26733,1176,25432,1944,42137,1936,45363,1062,21484,1017,22327,2115,46327,1630,35614,1364,28303,1696,39255,805,16849,2767,66803,1795,41248,2447,55879,1846,42895,1988,43690,1355,29197,1975,46233,1904,44460,1350,28673,2211,49272,2360,54016,1945,44786,1775,40032,1222,26479,987,21535,1486,32640,2280,53875,2855,66026,1329,30215,1167,25005,1565,33771,981,22189,1691,37217,1564,36636,1655,36110,3386,82090,1707,38265,926,19171,1268,27189,2640,62819,736,15471,1399,30627,1942,44190,380,7687,1299,28458,693,15400,1699,36851,1554,33611,1687,38735,2142,49836,1677,38316,1856,42390,1468,32548,1517,35885,544,11312,1297,25279,1862,41108,981,21823,2339,55810,1956,42652,2900,70800,2601,60498,1878,42538,1779,39400,2273,53676,1793,41196,1574,36066,2140,51219
7500,1500,0.8500000000000002,581,13289,771,18224,849,20278,1017,24284,1548,38528,2046,51302,1187,30024,1167,30386,1576,39734,1490,37645,1779,45416,1154,28790,1374,32032,1872,47891,2100,53430,2116,53734,1725,43708,2626,67863,1124,26288,927,21381,1512,36840,1071,25368,1421,33365,1623,39149,2178,58614,548,12479,3643,93743,666,15549,1907,51277,1233,29137,2282,60557,1718,41705,1047,24008,1924,47351,2191,57014,1059,25466,1525,37283,1302,32854,2510,65281,1182,27087,1102,27036,2146,54817,1719,42425,2349,61020,858,19765,2325,59575,613,15044,2803,73207,2610,69539,1934,50141,1392,34842,1424,36561,1528,38327,1204,29882,1853,46168,2010,49649,1388,35344,870,19958,1608,42453,865,20719,3254,87176,1069,28116,991,23850,1620,41041,3947,107336,1357,32666,2681,67750,802,19104,1670,43398,2128,54511,1272,30596,3587,94873,1587,41093,2075,52055,1414,36448,2475,65109,1260,33273,1063,25543,2109,54764,1050,24625,1615,42255,1266,32041,1163,28435,1470,36914,1596,41050,962,22985,1056,24874,1410,34580,1884,49388,5716,150283,2450,62458,2395,63866,1666,41891,1978,51356,1369,35522,2253,58959,2755,73473,2508,63389,2224,59188,5454,149983
