GC,Mean_Loss-Fixed,Mean_GFS_Fixed,Mean_Loss_Random,Mean_GFS_Random,Mean_random_egfs_loss
0.002500,161.294279,[ 27.339 35.5722 19.1988 32.093 9.7472 27.5862 14.9416 23.8792 16.6284 154.4886],34.027184,[ 47.1084 29.4312 21.782 22.3534 26.195 19.9868 17.4398 19.6974 28.165 144.3554],108.004939
0.002600,157.519925,[ 25.272 31.0662 20.9208 30.5864 24.4938 24.042 15.0558 20.178 15.6394 154.2574],27.365850,[ 48.9636 28.5374 23.4618 19.994 20.0126 19.8828 19.0398 20.404 29.4932 145.1276],108.542497
0.002700,153.897295,[ 31.1498 31.7444 18.862 29.9344 13.3966 25.1608 14.3336 22.5402 19.5366 154.703 ],30.510344,[ 53.8426 27.7972 20.1726 18.0482 15.5272 15.711 15.9484 21.304 33.8266 148.9244],120.723300
0.002800,149.859841,[ 30.1606 34.0296 18.5604 37.2442 11.185 29.0034 13.1566 23.7524 19.347 149.8412],33.538111,[ 46.4858 35.2172 20.4034 19.916 17.984 18.107 17.0688 26.129 27.049 146.2502],112.302416
0.002900,170.982219,[ 21.6916 41.0312 19.1164 29.7332 9.5958 25.5552 14.5322 28.4642 13.9104 155.437 ],54.062489,[ 62.5018 28.302 19.2824 25.8528 15.6518 21.7214 16.784 22.356 36.2312 137.4108],87.861484
0.003000,119.438506,[ 38.6624 36.214 16.7732 27.0912 25.197 21.5704 13.1844 25.7302 23.9362 145.413 ],18.976553,[ 51.9572 29.2154 23.22 23.8526 14.968 23.0646 18.6378 21.0152 31.575 142.0464],100.051263
0.003100,111.733445,[ 38.7442 38.2648 21.6724 28.0952 14.0374 23.8364 17.939 27.0994 23.5218 142.9908],17.112952,[ 54.2958 31.0238 26.9978 21.3064 16.757 18.63 21.9972 20.3994 33.1864 139.3554],90.198560
0.003200,117.377060,[ 37.6246 38.0866 19.6204 35.6726 9.2722 31.5908 16.5864 24.9892 24.6996 140.0276],35.295299,[ 45.9696 30.877 16.2328 18.9646 13.6424 17.15 13.178 23.6248 30.3286 153.0346],138.802087
0.003300,121.380281,[ 42.827 29.1 20.92 28.2188 14.218 24.321 15.9676 20.4202 27.844 147.0668],25.760873,[ 51.8408 27.9964 15.277 15.0746 18.1414 14.0656 13.088 22.3966 34.6174 151.767 ],136.215845
0.003400,123.912304,[ 31.7952 43.421 25.0766 24.8334 12.4304 20.7608 20.6022 29.0608 19.8314 145.4528],35.775545,[ 52.5056 29.394 17.2188 21.1246 21.0108 19.0234 12.9518 21.2366 33.5484 146.0932],113.676302
0.003500,102.424920,[ 42.7158 44.277 23.6304 19.4926 18.067 16.48 18.6382 30.6586 25.6466 141.0952],11.899483,[ 53.4974 32.571 19.3092 20.3646 13.6222 18.1566 16.4504 25.2574 32.2708 144.983 ],108.451332
0.003600,127.625534,[ 32.0226 36.0318 20.8982 29.7614 22.9556 23.3518 16.0154 24.041 19.0774 146.9658],37.291234,[ 55.0362 27.6772 18.5392 17.5134 14.3704 16.6228 18.2384 20.3628 35.3504 147.3472],118.606414
0.003700,132.744646,[ 30.1988 40.92 18.3604 29.8418 19.528 26.2808 13.8754 27.0674 18.2978 147.0132],38.213966,[ 52.9056 30.6054 26.2416 18.3872 18.0008 16.625 21.406 21.689 31.6578 142.6966],99.232366
0.003800,141.061715,[ 36.2988 27.9788 18.5298 29.8096 19.2176 25.6268 13.7088 20.2944 21.9676 151.8296],19.289592,[ 44.2404 25.9116 19.672 17.646 14.998 16.1686 17.2236 19.4316 28.8884 156.0604],146.474766
0.003900,168.912750,[ 30.5642 33.8356 16.0898 23.4588 13.0002 19.7062 13.1872 24.64 20.1692 159.8604],21.381181,[ 55.013 32.6462 21.0254 20.8124 9.886 19.708 17.0892 25.8816 33.0872 142.9428],104.776340
0.004000,138.199246,[ 34.8918 29.7242 17.5242 34.4726 19.771 28.9244 13.6036 20.5702 20.4626 148.6036],56.016846,[ 49.045 30.9774 25.6822 14.6514 17.6902 14.0914 22.5946 22.6948 29.5566 146.1204],113.753862
0.004100,121.875012,[ 41.0244 38.6392 17.7272 25.0096 12.6512 21.3922 14.7242 27.5636 26.2078 146.7454],14.098641,[ 47.2112 27.6842 16.1258 19.0914 19.926 16.598 13.37 21.0958 30.2676 152.9766],136.636315
0.004200,109.499755,[ 36.8114 43.4796 26.3812 22.232 14.9588 18.5784 21.7998 29.8736 21.9232 142.1048],20.494330,[ 49.4256 28.5296 31.0266 19.2156 19.029 16.7222 24.321 19.9948 29.7312 141.5018],99.774055
0.004300,97.314149,[ 47.7756 39.514 16.1372 27.5808 18.543 24.0016 14.2556 28.402 27.7368 138.796 ],47.171348,[ 50.2326 31.795 30.9416 12.2442 13.8274 12.8548 26.7344 22.847 30.0574 144.8788],113.304216
