HGT,Mean_Loss-Fixed,Mean_GFS_Fixed,Mean_Loss_Random,Mean_GFS_Random,Mean_random_egfs_loss
0.000170,24724.756754,[3.31520833e+02 7.50000000e-01 2.08333333e-02 2.08333333e-01 0.00000000e+00 3.54166667e-01 2.08333333e-02 6.33333333e+00 3.54812500e+02 9.60341667e+03],1424.692787,[1.11379167e+03 2.49375000e+01 9.36041667e+01 1.61041667e+01 8.35416667e+00 3.82500000e+01 6.51041667e+01 6.96250000e+01 1.07883333e+03 8.72633333e+03],19286.473637
0.000180,24817.095654,[3.28333333e+02 8.95833333e-01 0.00000000e+00 3.75000000e-01 2.08333333e-02 2.91666667e-01 6.25000000e-02 6.16666667e+00 3.57791667e+02 9.63043750e+03],1172.567953,[1.09162500e+03 6.58333333e+00 1.66666667e-01 1.66666667e-01 8.33333333e-02 1.45833333e-01 2.00000000e+00 6.20208333e+01 1.10735417e+03 8.82364583e+03],20062.602100
0.000190,24751.303508,[3.22500000e+02 8.95833333e-01 0.00000000e+00 4.37500000e-01 0.00000000e+00 4.37500000e-01 8.33333333e-02 5.85416667e+00 3.50458333e+02 9.60435417e+03],791.551434,[9.01708333e+02 4.45833333e+00 6.25000000e-02 8.33333333e-02 2.29166667e-01 1.25000000e-01 1.29166667e+00 4.25625000e+01 9.14041667e+02 9.05133333e+03],21220.287155
0.000200,24806.869539,[3.23041667e+02 8.54166667e-01 0.00000000e+00 4.58333333e-01 0.00000000e+00 4.37500000e-01 1.25000000e-01 5.89583333e+00 3.52375000e+02 9.62202083e+03],878.605954,[9.45520833e+02 4.85416667e+00 4.16666667e-02 2.29166667e-01 1.87500000e-01 1.25000000e-01 1.64583333e+00 4.91041667e+01 9.57937500e+02 9.00675000e+03],20965.306135
0.000210,24862.486405,[3.29520833e+02 9.37500000e-01 0.00000000e+00 5.00000000e-01 0.00000000e+00 5.83333333e-01 1.04166667e-01 6.58333333e+00 3.52250000e+02 9.64245833e+03],988.811355,[1.00427083e+03 6.10416667e+00 2.08333333e-01 1.45833333e-01 1.25000000e-01 1.04166667e-01 1.79166667e+00 5.30833333e+01 1.01370833e+03 8.94887500e+03],20647.042561
0.000220,24879.201269,[3.25250000e+02 9.16666667e-01 0.00000000e+00 4.58333333e-01 4.16666667e-02 2.91666667e-01 6.25000000e-02 5.89583333e+00 3.48416667e+02 9.64268750e+03],944.859119,[9.77395833e+02 5.02083333e+00 2.29166667e-01 1.45833333e-01 8.33333333e-02 2.08333333e-01 1.58333333e+00 4.94375000e+01 9.87937500e+02 8.96243750e+03],20757.581964
0.000230,24971.928800,[3.12187500e+02 8.54166667e-01 2.08333333e-02 5.20833333e-01 0.00000000e+00 4.58333333e-01 2.08333333e-02 5.66666667e+00 3.40250000e+02 9.65902083e+03],812.873488,[8.87020833e+02 4.43750000e+00 1.25000000e-01 8.33333333e-02 1.66666667e-01 8.33333333e-02 1.12500000e+00 4.01666667e+01 9.12895833e+02 9.03364583e+03],21195.452903
0.000240,24885.276128,[3.18208333e+02 9.79166667e-01 2.08333333e-02 5.41666667e-01 2.08333333e-02 4.58333333e-01 2.08333333e-02 5.14583333e+00 3.42666667e+02 9.63770833e+03],693.850004,[8.31166667e+02 4.06250000e+00 1.87500000e-01 8.33333333e-02 8.33333333e-02 1.66666667e-01 1.16666667e+00 3.62708333e+01 8.61000000e+02 9.09952083e+03],21540.935889
0.000250,25042.922581,[3.12625000e+02 8.33333333e-01 0.00000000e+00 5.41666667e-01 4.16666667e-02 4.58333333e-01 6.25000000e-02 5.14583333e+00 3.33791667e+02 9.67683333e+03],796.320383,[8.80937500e+02 4.22916667e+00 1.04166667e-01 2.08333333e-01 1.45833333e-01 2.08333333e-01 1.25000000e+00 4.16666667e+01 8.90916667e+02 9.04304167e+03],21249.663277
0.000260,24909.085606,[3.14375000e+02 8.12500000e-01 0.00000000e+00 5.41666667e-01 0.00000000e+00 6.45833333e-01 4.16666667e-02 6.35416667e+00 3.38416667e+02 9.64137500e+03],632.126269,[7.98854167e+02 3.31250000e+00 3.12500000e-01 1.45833333e-01 2.29166667e-01 2.08333333e-01 1.06250000e+00 3.46041667e+01 8.19000000e+02 9.13704167e+03],21753.325818
